alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.37,0.9601,0.9635,0.9244,0.9318,0.9188,0.9370,0.9501,0.9134,0.9198,0.9280,0.9353,0.9325,0.9257,0.8982,0.9438,0.8934,0.9339,0.9145,0.9551,0.9401,0.9379,0.9128,0.9451,0.8821,0.8958,0.8945,0.8349,0.6117,0.2720,0.0459,-0.0160,-0.0051,0.0075,0.0011,0.0035,-0.0008,0.0070,-0.0083,-0.0070,-0.0068,0.0089,0.0008,0.0051,-0.0050,-0.0027,0.0057,0.0126,0.0089,-0.0003,0.0066
0.38,0.8998,0.9257,0.9636,0.8897,0.9609,0.9462,0.9337,0.9265,0.9265,0.9276,0.9604,0.9305,0.9135,0.9033,0.9361,0.9477,0.9136,0.9450,0.9344,0.9175,0.9342,0.8587,0.9145,0.8512,0.7801,0.7903,0.7260,0.6325,0.2139,-0.0016,-0.0073,-0.0019,0.0025,0.0014,-0.0068,-0.0054,-0.0022,0.0040,-0.0006,-0.0028,0.0024,0.0046,-0.0015,-0.0022,0.0001,-0.0039,-0.0047,-0.0038,0.0073,-0.0051
0.39,0.9349,0.9214,0.9309,0.9351,0.8925,0.9356,0.9449,0.8767,0.9153,0.9076,0.9487,0.9521,0.8896,0.8463,0.9588,0.9225,0.8447,0.8577,0.9277,0.8497,0.8431,0.8609,0.8225,0.8070,0.7456,0.6918,0.6351,0.3002,0.0241,-0.0625,0.0068,-0.0025,0.0076,-0.0085,-0.0092,-0.0068,0.0208,-0.0071,-0.0042,-0.0122,0.0005,0.0094,-0.0100,-0.0132,-0.0009,0.0038,0.0032,0.0058,0.0032,-0.0018
0.40,0.9122,0.9450,0.8591,0.9130,0.9048,0.8467,0.8774,0.8864,0.9293,0.9126,0.9128,0.8321,0.8277,0.9028,0.9096,0.9253,0.8617,0.9096,0.8551,0.9103,0.8877,0.8563,0.8799,0.7691,0.7282,0.6023,0.2771,0.0344,0.0016,0.0346,0.0157,0.0054,0.0020,-0.0031,0.0009,-0.0064,0.0059,0.0030,0.0045,-0.0043,-0.0012,0.0091,-0.0006,-0.0051,0.0019,-0.0014,0.0005,0.0017,0.0094,-0.0019
0.41,0.9345,0.9133,0.8620,0.9385,0.9135,0.8359,0.9617,0.8635,0.9236,0.8619,0.9345,0.9183,0.8548,0.9535,0.8843,0.8514,0.9412,0.7556,0.9255,0.8433,0.8169,0.8431,0.8529,0.7673,0.7871,0.7751,0.3344,0.0598,-0.0307,-0.0204,-0.0131,-0.0092,-0.0066,-0.0010,-0.0002,-0.0087,0.0017,-0.0038,-0.0011,-0.0083,-0.0050,-0.0008,0.0008,-0.0073,0.0173,-0.0059,-0.0010,0.0013,0.0020,-0.0055
0.42,0.9082,0.8917,0.9136,0.9625,0.9308,0.8807,0.9616,0.8160,0.8666,0.8793,0.7868,0.8925,0.7892,0.8890,0.8321,0.8389,0.8910,0.9492,0.8614,0.8667,0.7724,0.7530,0.8452,0.7187,0.5467,0.3135,0.1567,0.0009,0.0287,-0.0041,-0.0026,-0.0158,-0.0158,0.0012,-0.0121,0.0027,-0.0161,0.0096,0.0038,0.0038,-0.0020,-0.0029,-0.0051,-0.0022,0.0012,0.0133,0.0034,-0.0040,-0.0009,-0.0025
0.43,0.8970,0.8262,0.9459,0.9322,0.9085,0.8144,0.8080,0.8071,0.9118,0.7871,0.8449,0.8436,0.7495,0.8932,0.9264,0.8739,0.8093,0.9195,0.8680,0.8396,0.8054,0.8471,0.7474,0.7886,0.6602,0.3162,-0.0307,0.0029,0.0201,-0.0166,-0.0089,0.0071,-0.0146,-0.0019,0.0053,0.0105,-0.0017,-0.0029,0.0134,0.0051,0.0027,-0.0066,0.0032,-0.0043,-0.0016,0.0025,-0.0048,-0.0027,-0.0004,-0.0123
0.44,0.8800,0.8587,0.8562,0.9409,0.8415,0.8025,0.7818,0.8914,0.8618,0.8571,0.7866,0.8362,0.8880,0.8581,0.8964,0.8188,0.7594,0.7348,0.9017,0.7357,0.8016,0.6631,0.6149,0.4448,0.4752,0.1601,-0.0023,0.0379,-0.0090,-0.0033,0.0200,0.0011,0.0070,0.0060,-0.0060,-0.0028,0.0015,-0.0071,-0.0026,0.0003,-0.0058,0.0043,0.0008,0.0044,0.0090,0.0011,-0.0082,-0.0008,0.0100,0.0034
0.45,0.9412,0.8974,0.8540,0.9464,0.8357,0.8873,0.8415,0.8723,0.9448,0.9466,0.8650,0.8448,0.8601,0.9094,0.8325,0.8212,0.8504,0.8187,0.7875,0.9001,0.7252,0.6352,0.7493,0.4815,0.2993,0.0692,0.0151,0.0027,0.0251,-0.0048,-0.0125,-0.0022,0.0060,0.0046,0.0067,0.0010,0.0024,-0.0045,0.0092,0.0062,-0.0028,-0.0014,-0.0101,-0.0156,-0.0052,0.0130,0.0101,-0.0020,0.0005,0.0040
0.46,0.8549,0.8233,0.7300,0.8592,0.8740,0.8146,0.8031,0.7530,0.8779,0.7576,0.8146,0.9332,0.7860,0.7570,0.8435,0.8044,0.6409,0.7766,0.7630,0.7091,0.5425,0.5017,0.3227,0.2679,0.0937,0.0527,0.0146,-0.0141,-0.0188,0.0065,-0.0051,0.0072,0.0066,-0.0103,0.0119,-0.0012,0.0053,0.0071,0.0054,-0.0036,0.0106,0.0096,-0.0002,0.0110,0.0011,0.0102,0.0096,0.0018,-0.0071,-0.0028
0.47,0.8129,0.9232,0.8201,0.8389,0.8868,0.8631,0.8239,0.7662,0.7038,0.8353,0.8431,0.8568,0.7676,0.7748,0.8572,0.8653,0.7870,0.7459,0.6276,0.6395,0.6704,0.3261,0.4001,0.0636,0.1062,0.0378,-0.0135,-0.0177,-0.0148,0.0112,0.0005,0.0091,0.0030,0.0100,-0.0007,0.0019,-0.0069,-0.0037,-0.0039,0.0117,0.0070,-0.0015,0.0116,-0.0022,0.0071,-0.0028,-0.0118,-0.0030,-0.0038,-0.0038
0.48,0.7516,0.7130,0.7201,0.8639,0.7973,0.7199,0.7850,0.8512,0.7925,0.8261,0.7520,0.8017,0.7534,0.6455,0.7528,0.7376,0.5997,0.8285,0.5253,0.5872,0.2168,0.2905,0.1994,0.0750,0.0001,-0.0034,0.0095,-0.0066,-0.0155,-0.0117,0.0050,-0.0077,0.0009,-0.0054,0.0053,-0.0046,0.0077,0.0120,-0.0021,-0.0039,0.0072,0.0097,-0.0102,0.0002,-0.0051,-0.0159,0.0085,0.0057,-0.0059,-0.0024
0.49,0.8453,0.7565,0.7756,0.6951,0.7073,0.7999,0.6900,0.7763,0.7075,0.7584,0.7239,0.6960,0.8148,0.7023,0.8173,0.5989,0.5853,0.7838,0.5354,0.4602,0.4560,0.1733,0.2032,0.0266,0.0369,0.0179,0.0146,-0.0061,0.0038,0.0013,-0.0038,0.0116,0.0057,0.0063,-0.0078,0.0094,-0.0011,-0.0114,-0.0007,-0.0047,0.0031,-0.0009,0.0073,-0.0104,0.0014,-0.0001,-0.0064,0.0076,-0.0048,0.0021
0.50,0.7206,0.7606,0.7557,0.7818,0.9037,0.6883,0.6977,0.7171,0.7088,0.8869,0.6951,0.6878,0.6063,0.8110,0.7601,0.6273,0.5328,0.5020,0.2927,0.2411,0.0732,0.0740,0.0048,0.0043,0.0681,-0.0007,-0.0040,-0.0119,-0.0176,-0.0110,-0.0054,0.0053,-0.0066,0.0178,-0.0010,-0.0095,0.0057,-0.0029,0.0110,-0.0025,0.0031,0.0078,0.0011,-0.0040,-0.0058,0.0076,-0.0018,-0.0055,0.0130,-0.0118
0.51,0.6627,0.8430,0.7291,0.7757,0.7709,0.6970,0.6667,0.7537,0.6542,0.7403,0.7970,0.5933,0.8082,0.7148,0.5987,0.5116,0.5321,0.6036,0.2722,0.0571,0.0623,0.1366,0.0275,0.1300,0.0495,0.0020,-0.0011,-0.0040,-0.0121,-0.0034,-0.0023,-0.0075,-0.0009,0.0010,0.0035,-0.0023,0.0049,-0.0035,-0.0127,0.0038,0.0074,-0.0022,0.0113,0.0011,-0.0064,0.0050,0.0042,-0.0056,-0.0043,0.0008
0.52,0.7910,0.7557,0.7193,0.6053,0.6917,0.7870,0.8182,0.7679,0.6765,0.5842,0.7737,0.6719,0.5683,0.7517,0.7327,0.5576,0.5830,0.4226,0.2360,0.4027,0.1977,-0.0003,0.1089,0.0328,-0.0008,0.0055,-0.0045,-0.0058,0.0061,0.0136,0.0029,-0.0003,0.0044,-0.0058,-0.0187,0.0020,-0.0030,-0.0075,-0.0155,0.0022,0.0047,-0.0098,0.0143,-0.0004,0.0075,0.0066,0.0031,0.0008,-0.0021,0.0034
0.53,0.6863,0.8378,0.6912,0.7299,0.6844,0.7425,0.5946,0.7292,0.6861,0.6246,0.6329,0.5654,0.4954,0.6847,0.3157,0.3457,0.2268,0.2321,-0.0033,0.1078,0.0564,0.0502,0.0643,-0.0062,-0.0031,0.0085,0.0052,-0.0028,-0.0048,-0.0045,0.0031,0.0006,0.0151,-0.0123,0.0000,0.0057,0.0064,0.0032,0.0022,0.0169,0.0144,-0.0089,-0.0010,0.0074,-0.0017,-0.0002,0.0035,-0.0104,0.0077,-0.0002
0.54,0.7103,0.7102,0.7512,0.7079,0.7106,0.6862,0.7831,0.6355,0.5092,0.4993,0.4331,0.6054,0.5317,0.4491,0.4227,0.2963,0.4163,0.1824,0.1300,-0.0181,0.0616,0.0071,0.0169,0.0045,-0.0128,-0.0189,-0.0117,-0.0130,0.0011,0.0056,0.0103,0.0023,0.0065,-0.0182,0.0061,0.0126,0.0000,-0.0095,0.0064,-0.0003,0.0104,-0.0004,-0.0079,0.0010,0.0018,0.0052,0.0007,-0.0002,-0.0014,0.0079
0.55,0.6218,0.7829,0.6991,0.7019,0.8595,0.6096,0.6932,0.7303,0.6845,0.7812,0.5661,0.6782,0.5934,0.6124,0.4919,0.4746,0.2621,0.0874,0.0224,0.0558,0.0074,-0.0085,0.0580,-0.0002,0.0111,0.0190,0.0059,0.0021,0.0031,0.0011,-0.0022,-0.0050,0.0121,0.0006,0.0061,0.0032,0.0019,-0.0111,0.0032,0.0063,0.0114,0.0005,-0.0034,-0.0033,0.0147,0.0019,0.0090,0.0086,0.0025,0.0095
