alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.38,0.7602,0.7586,0.7588,0.7546,0.7537,0.7544,0.7541,0.7544,0.7547,0.7493,0.7504,0.7531,0.7531,0.7504,0.7501,0.7505,0.7512,0.7507,0.7518,0.7524,0.7516,0.7488,0.7424,0.7382,0.7439,0.7220,0.6802,0.6390,0.5570,0.4509,0.3493,0.1675,0.0943,0.0248,0.0161,-0.0175,-0.0086,-0.0324,0.0116,0.0301,0.0185,0.0275,-0.0089,0.0243,0.0051,0.0420,-0.0086,-0.0042,-0.0125,0.0241
0.39,0.7921,0.7907,0.7873,0.7890,0.7871,0.7876,0.7861,0.7875,0.7869,0.7872,0.7871,0.7823,0.7818,0.7814,0.7807,0.7809,0.7793,0.7784,0.7802,0.7814,0.7807,0.7820,0.7708,0.7649,0.7537,0.7253,0.7203,0.6369,0.5784,0.5047,0.3545,0.2286,0.1624,0.0636,-0.0036,-0.0346,-0.0319,-0.0090,0.0098,-0.0311,-0.0043,0.0102,0.0015,0.0095,-0.0059,0.0204,0.0157,0.0367,0.0157,-0.0014
0.40,0.7111,0.7138,0.7124,0.7127,0.7055,0.7041,0.7048,0.7048,0.7034,0.7055,0.7052,0.6994,0.7002,0.6984,0.6993,0.6981,0.6990,0.6994,0.6972,0.6974,0.7001,0.6935,0.6895,0.6901,0.6761,0.6668,0.6406,0.5878,0.4677,0.3831,0.3053,0.2318,0.0959,0.0831,-0.0117,0.0133,0.0161,-0.0249,0.0025,0.0177,-0.0065,-0.0116,-0.0450,0.0297,-0.0045,-0.0009,0.0024,-0.0189,0.0069,0.0014
0.41,0.7083,0.7088,0.7100,0.7106,0.7096,0.7057,0.7074,0.7048,0.7035,0.6995,0.7012,0.6911,0.6888,0.6862,0.6862,0.6893,0.6897,0.6896,0.6830,0.6831,0.6858,0.6860,0.6841,0.6728,0.6629,0.6504,0.6120,0.5633,0.4842,0.4068,0.2796,0.1822,0.0799,0.0366,-0.0249,-0.0405,0.0040,-0.0536,0.0046,0.0125,0.0262,-0.0023,-0.0227,-0.0025,-0.0039,-0.0106,0.0138,-0.0002,0.0084,0.0125
0.42,0.7245,0.7224,0.7239,0.7235,0.7188,0.7136,0.7148,0.7125,0.7094,0.7079,0.7096,0.7068,0.7083,0.7098,0.7087,0.7079,0.7062,0.7039,0.7014,0.7024,0.7020,0.7025,0.6989,0.6944,0.6742,0.6560,0.6324,0.5736,0.4828,0.3358,0.2173,0.0748,-0.0056,0.0204,-0.0346,-0.0068,-0.0313,-0.0228,-0.0064,0.0143,0.0222,-0.0150,0.0222,0.0163,0.0212,-0.0008,0.0067,0.0112,-0.0121,0.0003
0.43,0.6365,0.6356,0.6362,0.6361,0.6353,0.6357,0.6343,0.6335,0.6315,0.6310,0.6323,0.6317,0.6287,0.6303,0.6318,0.6358,0.6357,0.6358,0.6380,0.6368,0.6336,0.6311,0.6247,0.6139,0.5874,0.5717,0.5247,0.4772,0.3920,0.2726,0.1455,0.0859,0.0343,0.0099,-0.0198,-0.0432,-0.0069,-0.0130,-0.0104,0.0088,0.0065,-0.0055,-0.0040,-0.0032,-0.0128,-0.0298,0.0167,-0.0060,0.0105,-0.0068
0.44,0.6839,0.6771,0.6728,0.6707,0.6740,0.6751,0.6746,0.6746,0.6780,0.6781,0.6784,0.6768,0.6756,0.6764,0.6751,0.6758,0.6756,0.6738,0.6701,0.6672,0.6658,0.6641,0.6613,0.6504,0.6332,0.6295,0.5838,0.5009,0.4196,0.3440,0.1699,0.1005,-0.0092,0.0501,0.0714,0.0205,-0.0093,-0.0660,-0.0458,0.0005,-0.0161,-0.0129,-0.0277,-0.0291,0.0033,-0.0151,-0.0119,-0.0188,-0.0042,-0.0031
0.45,0.6527,0.6520,0.6510,0.6516,0.6494,0.6486,0.6491,0.6489,0.6451,0.6440,0.6438,0.6406,0.6393,0.6394,0.6402,0.6410,0.6380,0.6350,0.6363,0.6268,0.6327,0.6276,0.6212,0.6178,0.6068,0.6025,0.5612,0.4931,0.3842,0.2642,0.1565,0.0243,-0.0097,-0.0248,0.0423,-0.0226,-0.0369,0.0235,-0.0471,-0.0083,-0.0289,0.0509,0.0091,0.0016,-0.0167,-0.0128,-0.0027,-0.0040,0.0009,0.0014
0.46,0.6040,0.6044,0.6051,0.6083,0.6098,0.6091,0.6114,0.6075,0.6098,0.6083,0.6102,0.6099,0.6124,0.6133,0.6121,0.6098,0.6121,0.6109,0.6103,0.6043,0.5990,0.6011,0.5867,0.5897,0.5802,0.5408,0.4822,0.3897,0.2833,0.1669,0.0624,0.0002,-0.0156,0.0224,-0.0164,-0.0188,-0.0147,-0.0185,0.0374,-0.0239,-0.0087,-0.0180,-0.0118,-0.0141,0.0131,0.0038,0.0110,-0.0089,0.0005,-0.0066
0.47,0.6239,0.6229,0.6244,0.6219,0.6221,0.6188,0.6164,0.6128,0.6138,0.6146,0.6120,0.6104,0.6104,0.6062,0.6047,0.6065,0.6089,0.6062,0.6032,0.6043,0.6024,0.6001,0.5973,0.6010,0.5773,0.5506,0.5123,0.3884,0.2806,0.1879,0.0795,0.0466,-0.0139,0.0043,-0.0007,-0.0061,0.0075,-0.0139,-0.0085,-0.0454,-0.0063,-0.0040,-0.0133,0.0000,0.0053,-0.0022,0.0117,-0.0072,-0.0133,0.0084
0.48,0.6063,0.6103,0.6088,0.6100,0.6072,0.6042,0.5959,0.5946,0.5935,0.5914,0.5934,0.5919,0.5998,0.6038,0.6064,0.6084,0.6056,0.6092,0.6022,0.6028,0.6058,0.6063,0.6060,0.5926,0.5648,0.5160,0.4427,0.3483,0.1887,0.0807,0.0720,0.0215,0.0316,0.0036,-0.0135,0.0206,0.0023,-0.0026,0.0233,0.0142,-0.0270,-0.0211,-0.0180,-0.0136,-0.0049,-0.0086,0.0023,0.0021,-0.0082,-0.0126
0.49,0.5802,0.5815,0.5812,0.5802,0.5789,0.5813,0.5781,0.5774,0.5775,0.5756,0.5725,0.5716,0.5699,0.5735,0.5721,0.5775,0.5762,0.5810,0.5811,0.5822,0.5729,0.5679,0.5646,0.5444,0.5241,0.4471,0.4193,0.3033,0.2175,0.1259,0.0507,-0.0234,0.0040,-0.0005,0.0176,0.0624,0.0154,-0.0313,-0.0075,-0.0354,0.0090,-0.0020,-0.0115,0.0119,0.0027,0.0028,-0.0022,-0.0070,-0.0101,0.0108
0.50,0.5598,0.5612,0.5574,0.5551,0.5586,0.5533,0.5538,0.5573,0.5540,0.5550,0.5575,0.5566,0.5592,0.5550,0.5532,0.5533,0.5525,0.5524,0.5557,0.5603,0.5501,0.5519,0.5326,0.5214,0.4911,0.4607,0.3844,0.2485,0.1512,0.0937,0.0718,0.0477,0.0361,0.0099,-0.0210,-0.0366,-0.0170,0.0294,0.0051,-0.0397,-0.0038,-0.0203,0.0408,-0.0201,-0.0125,-0.0036,0.0109,-0.0041,0.0004,0.0004
0.51,0.5309,0.5293,0.5301,0.5284,0.5270,0.5287,0.5276,0.5253,0.5249,0.5249,0.5260,0.5239,0.5291,0.5299,0.5313,0.5306,0.5275,0.5318,0.5272,0.5117,0.5082,0.5098,0.5055,0.4679,0.4668,0.3565,0.2767,0.1318,0.0663,-0.0193,0.0039,-0.0091,0.0207,0.0582,-0.0038,0.0201,0.0341,0.0032,0.0131,0.0003,0.0018,0.0136,0.0055,-0.0044,0.0107,-0.0080,0.0032,0.0056,0.0050,-0.0065
0.52,0.5247,0.5213,0.5215,0.5197,0.5205,0.5201,0.5179,0.5131,0.5118,0.5124,0.5144,0.5087,0.5095,0.5096,0.5106,0.5129,0.5194,0.5134,0.5074,0.5031,0.5072,0.5097,0.4900,0.4638,0.4339,0.3730,0.2430,0.1226,0.0596,0.0232,-0.0332,-0.0144,-0.0326,0.0528,-0.0297,0.0014,-0.0052,-0.0108,-0.0150,-0.0130,0.0075,-0.0024,0.0086,-0.0025,0.0044,-0.0046,0.0037,-0.0090,0.0122,-0.0065
0.53,0.5361,0.5334,0.5334,0.5305,0.5313,0.5288,0.5304,0.5312,0.5318,0.5342,0.5287,0.5269,0.5288,0.5242,0.5207,0.5245,0.5181,0.5177,0.5190,0.5187,0.5202,0.5148,0.5067,0.4952,0.4661,0.4142,0.3206,0.1949,0.0429,0.0320,0.0025,-0.0007,0.0230,-0.0059,-0.0126,0.0173,-0.0332,0.0066,0.0131,-0.0162,0.0053,-0.0153,-0.0075,0.0083,0.0309,0.0012,-0.0092,0.0035,0.0051,0.0048
0.54,0.5553,0.5576,0.5534,0.5528,0.5512,0.5458,0.5432,0.5473,0.5445,0.5478,0.5491,0.5493,0.5484,0.5518,0.5503,0.5422,0.5375,0.5329,0.5345,0.5347,0.5235,0.5170,0.5023,0.4415,0.3957,0.2611,0.1382,0.0759,0.0655,0.0024,0.0019,-0.0250,-0.0072,-0.0084,-0.0096,-0.0217,0.0099,-0.0006,0.0018,0.0266,0.0091,-0.0063,0.0092,-0.0039,0.0195,-0.0043,0.0017,-0.0113,0.0136,0.0002
0.55,0.4260,0.4272,0.4241,0.4282,0.4282,0.4294,0.4293,0.4312,0.4340,0.4336,0.4338,0.4366,0.4357,0.4350,0.4349,0.4325,0.4321,0.4331,0.4219,0.4231,0.4225,0.4172,0.4008,0.3421,0.3106,0.1914,0.1065,0.0295,0.0399,-0.0139,0.0057,0.0534,-0.0162,-0.0507,-0.0090,0.0329,-0.0050,0.0122,-0.0026,0.0050,0.0080,0.0103,-0.0068,0.0043,0.0026,-0.0095,0.0109,-0.0099,-0.0070,-0.0022
