alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.22,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9985,0.9984,0.9978,0.9930,0.9836,0.9555,0.9298,0.9035,0.8916,0.8800,0.8613,0.7984,0.6522,0.2174,-0.0044,0.0020,-0.0057,-0.0033,-0.0002,-0.0006,-0.0013,-0.0008,-0.0007,0.0012,0.0012,0.0007,0.0002,-0.0004,0.0011,-0.0010
0.23,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9984,0.9971,0.9914,0.9819,0.9571,0.9228,0.9025,0.8920,0.8751,0.8350,0.7156,0.3844,0.0366,-0.0033,0.0013,0.0035,0.0039,0.0018,0.0025,-0.0003,-0.0001,-0.0010,-0.0007,0.0009,-0.0000,0.0011,-0.0001,-0.0012,0.0008
0.24,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9986,0.9985,0.9951,0.9930,0.9773,0.9480,0.9237,0.9033,0.8891,0.8755,0.8234,0.6498,0.2597,0.0270,0.0030,0.0043,-0.0019,0.0024,-0.0027,0.0005,0.0001,0.0005,-0.0008,0.0008,-0.0008,-0.0008,0.0005,0.0009,0.0010,0.0017
0.25,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9986,0.9988,0.9988,0.9971,0.9960,0.9879,0.9733,0.9450,0.9194,0.9001,0.8854,0.8504,0.6936,0.3733,0.0423,-0.0060,-0.0062,0.0038,0.0020,0.0013,-0.0006,0.0020,0.0028,0.0010,0.0020,0.0002,0.0008,0.0007,-0.0008,0.0007,0.0009,0.0008
0.26,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9982,0.9985,0.9974,0.9953,0.9845,0.9683,0.9405,0.9153,0.8974,0.8860,0.8189,0.6582,0.2200,-0.0083,0.0165,0.0020,-0.0011,-0.0013,-0.0006,0.0026,0.0010,-0.0005,-0.0003,0.0013,-0.0011,-0.0007,0.0001,0.0016,-0.0003,0.0006,-0.0003
0.27,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9986,0.9973,0.9933,0.9868,0.9666,0.9409,0.9162,0.8951,0.8766,0.7577,0.4750,0.0705,-0.0161,-0.0033,-0.0042,0.0002,0.0034,-0.0000,-0.0013,-0.0010,-0.0003,0.0008,0.0004,0.0016,-0.0010,-0.0007,0.0012,0.0000,0.0005,0.0009
0.28,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9987,0.9967,0.9907,0.9822,0.9641,0.9362,0.9094,0.8879,0.8360,0.6533,0.2655,0.0131,0.0008,0.0028,-0.0039,-0.0016,0.0023,-0.0006,0.0007,-0.0004,0.0005,-0.0006,-0.0001,0.0002,0.0012,-0.0005,0.0005,-0.0003,0.0012,0.0021
0.29,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9982,0.9975,0.9937,0.9832,0.9602,0.9334,0.9059,0.8873,0.7929,0.5206,0.1141,0.0041,0.0105,-0.0001,0.0030,-0.0020,0.0008,0.0013,0.0017,-0.0004,-0.0028,0.0004,-0.0004,-0.0004,-0.0001,0.0003,0.0002,-0.0010,-0.0000,0.0003
0.30,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9983,0.9978,0.9954,0.9904,0.9806,0.9573,0.9246,0.8893,0.8516,0.7118,0.3218,0.0352,0.0036,0.0032,0.0069,0.0002,0.0025,0.0002,-0.0012,-0.0011,-0.0011,0.0002,-0.0009,-0.0023,0.0005,0.0009,-0.0002,-0.0004,-0.0004,0.0012,0.0003
0.31,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9985,0.9978,0.9952,0.9910,0.9797,0.9531,0.9259,0.8900,0.7905,0.5510,0.1119,0.0092,-0.0029,-0.0093,0.0001,0.0016,-0.0014,-0.0006,-0.0016,-0.0006,-0.0010,0.0006,0.0002,0.0001,-0.0001,-0.0000,-0.0010,0.0006,-0.0006,-0.0014,-0.0004
