alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.27,0.9878,0.9639,0.9407,0.9184,0.8962,0.8714,0.8268,0.5907,0.1072,-0.0065,-0.0009,-0.0017,0.0016,0.0032,-0.0023,-0.0005,-0.0002,-0.0021,-0.0006,-0.0005,-0.0009,-0.0004,0.0008,-0.0002,0.0005,0.0010,0.0013,0.0002,-0.0010,-0.0003,-0.0000,0.0004,-0.0012,0.0012,-0.0004,0.0005,0.0003,0.0000,0.0005,0.0002
0.28,0.9880,0.9642,0.9409,0.9180,0.8946,0.8705,0.8064,0.5025,0.0492,0.0029,-0.0002,-0.0040,0.0010,0.0031,0.0007,-0.0005,-0.0026,0.0011,-0.0012,-0.0017,0.0009,0.0005,0.0006,0.0002,-0.0004,-0.0017,-0.0001,0.0005,0.0014,0.0005,-0.0012,-0.0002,0.0004,-0.0003,0.0003,0.0001,0.0001,0.0004,0.0003,-0.0006
0.29,0.9878,0.9641,0.9409,0.9180,0.8963,0.8668,0.6767,0.1977,-0.0118,-0.0071,-0.0007,-0.0000,-0.0000,0.0013,-0.0008,0.0012,0.0003,-0.0015,0.0006,-0.0015,-0.0000,-0.0003,0.0004,-0.0001,0.0004,-0.0004,0.0001,0.0002,-0.0002,-0.0009,0.0002,-0.0001,0.0005,-0.0009,-0.0001,-0.0005,-0.0002,-0.0002,-0.0004,0.0007
0.30,0.9880,0.9642,0.9390,0.9166,0.8957,0.8509,0.5873,0.0759,0.0023,0.0038,0.0004,0.0007,0.0023,-0.0010,0.0014,-0.0009,-0.0014,0.0021,0.0005,0.0010,0.0006,-0.0000,-0.0001,-0.0004,0.0002,-0.0004,0.0001,-0.0006,0.0005,-0.0002,-0.0001,-0.0006,-0.0005,-0.0009,0.0004,0.0014,0.0001,0.0000,-0.0000,-0.0005
0.31,0.9879,0.9641,0.9410,0.9136,0.8954,0.8327,0.4318,0.0239,0.0013,-0.0006,0.0013,-0.0021,0.0004,-0.0008,0.0009,-0.0031,-0.0015,0.0017,0.0001,-0.0001,0.0000,-0.0014,0.0006,0.0001,0.0005,-0.0006,0.0006,-0.0008,-0.0002,0.0003,0.0002,0.0003,0.0003,0.0005,-0.0009,-0.0004,-0.0010,0.0005,0.0006,0.0001
0.32,0.9881,0.9641,0.9408,0.9176,0.8857,0.7821,0.2334,-0.0113,-0.0101,-0.0007,-0.0021,-0.0006,0.0009,0.0004,-0.0014,0.0013,-0.0009,-0.0001,0.0018,-0.0003,0.0015,-0.0009,-0.0005,0.0015,-0.0014,-0.0002,-0.0009,-0.0004,0.0007,-0.0012,-0.0004,-0.0004,0.0004,-0.0002,-0.0002,-0.0009,0.0003,0.0005,-0.0007,-0.0007
0.33,0.9879,0.9644,0.9410,0.9185,0.8820,0.6857,0.0660,0.0087,-0.0013,0.0046,-0.0041,-0.0002,-0.0014,0.0028,0.0004,-0.0012,0.0012,0.0011,0.0001,-0.0019,0.0001,-0.0014,-0.0011,-0.0004,0.0011,-0.0005,-0.0006,-0.0002,0.0010,0.0001,0.0016,-0.0000,0.0001,0.0001,-0.0001,0.0001,0.0004,-0.0003,0.0005,0.0002
0.34,0.9879,0.9623,0.9388,0.9175,0.8689,0.4968,-0.0103,-0.0015,0.0001,0.0039,-0.0030,-0.0041,-0.0026,-0.0021,0.0005,-0.0005,-0.0016,-0.0001,-0.0017,0.0001,0.0006,-0.0002,-0.0016,-0.0007,-0.0006,-0.0003,-0.0000,0.0006,0.0003,0.0009,0.0010,-0.0001,-0.0002,-0.0003,-0.0004,-0.0006,0.0002,-0.0006,0.0002,0.0004
0.35,0.9880,0.9642,0.9381,0.9102,0.8179,0.2411,-0.0002,0.0074,-0.0033,-0.0000,-0.0008,-0.0002,0.0015,-0.0012,0.0002,0.0005,0.0014,-0.0002,0.0002,-0.0008,-0.0009,0.0017,0.0015,-0.0024,-0.0007,0.0010,0.0009,0.0018,0.0005,-0.0020,0.0014,-0.0002,0.0003,0.0006,0.0005,-0.0005,-0.0006,0.0001,0.0004,0.0005
0.36,0.9858,0.9641,0.9411,0.9073,0.8484,0.2184,0.0031,0.0002,0.0012,-0.0005,0.0010,-0.0032,0.0006,0.0010,-0.0001,-0.0010,-0.0000,0.0000,-0.0018,0.0013,0.0002,0.0001,-0.0000,0.0015,0.0002,-0.0014,-0.0005,0.0007,0.0008,-0.0001,0.0003,-0.0012,-0.0007,-0.0003,0.0006,0.0005,0.0006,0.0003,-0.0002,0.0002
