alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.38,0.9987,0.9819,0.1958,-0.0065,0.0131,0.0004,-0.0021,0.0008,-0.0006,0.0027,-0.0008,-0.0003,-0.0006,-0.0012,-0.0005,0.0002,-0.0008,-0.0006,0.0013,-0.0009,0.0003,0.0013,-0.0006,0.0004,-0.0009,0.0016,0.0005,-0.0016,0.0012,-0.0004,-0.0007,0.0002,0.0002,-0.0013,0.0015,0.0001,0.0009,0.0004,0.0009,0.0007,0.0005,0.0005,0.0001,-0.0011,0.0007,0.0007,0.0016,-0.0008,-0.0013,0.0008
0.39,0.9987,0.9741,0.1881,-0.0002,-0.0022,0.0008,0.0012,-0.0013,-0.0015,-0.0009,0.0003,0.0006,0.0011,0.0003,0.0011,0.0004,-0.0002,0.0004,0.0001,0.0001,-0.0003,0.0015,0.0007,0.0012,0.0007,-0.0006,0.0002,-0.0013,0.0020,0.0006,0.0006,-0.0004,-0.0012,-0.0003,-0.0010,0.0000,0.0004,-0.0005,-0.0005,0.0014,-0.0005,-0.0005,0.0000,-0.0002,-0.0003,-0.0005,0.0010,-0.0005,0.0002,-0.0012
0.40,0.9988,0.9764,0.1676,0.0073,0.0025,-0.0000,0.0013,-0.0004,0.0011,0.0015,0.0016,-0.0006,0.0009,0.0011,0.0012,-0.0003,-0.0004,0.0004,0.0008,0.0009,0.0013,-0.0008,0.0003,-0.0001,0.0005,-0.0003,0.0005,0.0001,0.0003,0.0004,0.0005,0.0009,0.0008,-0.0001,-0.0003,-0.0002,0.0019,0.0009,-0.0002,-0.0004,0.0001,0.0004,0.0002,0.0006,0.0004,0.0012,0.0009,0.0001,0.0009,-0.0007
0.41,0.9985,0.9368,-0.0167,0.0004,-0.0010,0.0006,0.0014,-0.0009,-0.0013,-0.0004,-0.0004,0.0005,-0.0018,-0.0002,-0.0004,0.0004,0.0004,-0.0022,-0.0025,0.0002,0.0007,-0.0002,-0.0001,-0.0004,0.0005,-0.0013,0.0003,0.0006,0.0006,-0.0003,0.0004,0.0005,-0.0008,0.0001,0.0020,-0.0009,0.0004,-0.0004,-0.0004,-0.0006,0.0004,-0.0005,-0.0013,-0.0004,-0.0010,0.0001,-0.0005,-0.0000,0.0006,0.0010
0.42,0.9988,0.9302,0.0102,-0.0034,-0.0026,0.0017,-0.0002,0.0005,0.0008,0.0019,-0.0003,0.0008,0.0010,0.0010,0.0001,-0.0004,0.0012,0.0006,-0.0007,0.0010,0.0001,-0.0007,0.0010,-0.0012,0.0003,0.0007,0.0001,0.0006,0.0004,0.0006,0.0017,-0.0002,0.0011,0.0007,0.0006,0.0015,-0.0010,-0.0003,-0.0007,-0.0005,-0.0006,-0.0017,-0.0003,-0.0002,-0.0002,0.0003,0.0000,0.0013,0.0003,-0.0000
0.43,0.9985,0.7248,-0.0005,0.0057,0.0012,0.0020,0.0018,-0.0002,0.0012,-0.0011,-0.0004,0.0002,0.0019,0.0008,0.0002,0.0002,0.0023,-0.0008,0.0003,0.0011,-0.0002,0.0019,-0.0004,-0.0007,0.0003,-0.0000,0.0017,0.0005,-0.0013,-0.0000,0.0009,0.0001,0.0005,0.0010,0.0009,-0.0006,0.0000,-0.0012,-0.0017,0.0006,0.0008,0.0006,0.0015,0.0022,0.0009,-0.0019,-0.0006,0.0006,-0.0008,0.0006
0.44,0.9985,0.7704,0.0071,0.0042,0.0012,-0.0021,-0.0009,0.0018,0.0001,0.0000,0.0007,0.0011,-0.0010,-0.0009,-0.0005,-0.0001,0.0005,-0.0008,-0.0004,0.0000,-0.0006,0.0004,0.0004,0.0004,0.0007,-0.0004,0.0015,-0.0005,-0.0005,0.0009,-0.0001,0.0007,-0.0002,0.0010,-0.0001,-0.0005,0.0005,0.0001,0.0002,-0.0004,-0.0001,0.0002,0.0010,0.0003,0.0000,-0.0001,0.0001,0.0000,0.0019,0.0003
0.45,0.9982,0.1751,-0.0033,0.0018,0.0020,0.0023,-0.0001,-0.0008,0.0007,0.0005,-0.0002,0.0010,-0.0001,0.0009,-0.0023,0.0010,-0.0004,-0.0005,0.0000,0.0004,-0.0010,0.0013,0.0008,0.0011,0.0008,-0.0010,0.0001,0.0011,-0.0000,-0.0003,-0.0003,-0.0006,0.0005,0.0001,-0.0008,0.0000,-0.0015,0.0010,0.0004,-0.0010,0.0000,-0.0017,-0.0010,0.0017,0.0003,0.0006,0.0004,-0.0002,0.0008,0.0009
0.46,0.9982,0.1642,0.0080,0.0011,-0.0001,0.0006,0.0001,0.0011,-0.0002,0.0022,0.0002,0.0008,0.0009,0.0009,-0.0005,-0.0003,-0.0013,0.0003,0.0015,-0.0003,0.0003,-0.0001,0.0007,-0.0007,0.0003,0.0020,-0.0018,0.0003,0.0002,0.0014,0.0005,0.0005,-0.0001,0.0004,-0.0002,-0.0001,-0.0006,-0.0013,0.0001,-0.0011,0.0006,-0.0006,0.0003,0.0001,-0.0018,0.0018,-0.0013,0.0014,0.0013,0.0004
0.47,0.9984,0.2332,0.0102,0.0013,-0.0003,-0.0003,0.0012,-0.0001,-0.0002,0.0001,-0.0001,0.0012,0.0013,-0.0004,0.0014,-0.0005,-0.0004,-0.0010,0.0013,0.0011,0.0007,-0.0009,0.0017,-0.0016,0.0004,0.0020,0.0000,0.0002,0.0011,0.0005,0.0006,-0.0003,0.0003,0.0010,-0.0012,-0.0016,0.0002,-0.0014,0.0013,0.0006,0.0002,-0.0017,0.0011,-0.0010,-0.0001,0.0010,0.0008,-0.0010,0.0001,-0.0002
0.48,0.9931,0.0167,0.0053,0.0040,-0.0009,-0.0001,0.0005,0.0012,0.0005,0.0016,0.0016,-0.0002,0.0006,-0.0005,0.0029,0.0002,0.0003,0.0001,-0.0003,0.0014,0.0009,-0.0007,-0.0020,-0.0003,-0.0015,-0.0006,-0.0011,-0.0015,0.0002,0.0003,-0.0006,-0.0005,-0.0002,0.0007,0.0011,-0.0003,0.0008,0.0002,0.0000,0.0009,0.0013,0.0000,0.0007,-0.0001,0.0004,0.0003,-0.0004,-0.0002,-0.0002,0.0003
0.49,0.9936,0.0181,-0.0027,0.0020,0.0026,0.0016,0.0016,0.0016,0.0015,0.0010,0.0005,0.0024,0.0025,0.0010,-0.0002,0.0017,0.0003,0.0017,0.0007,0.0016,0.0006,-0.0022,0.0006,-0.0007,-0.0005,-0.0000,0.0002,-0.0017,0.0005,0.0000,0.0010,-0.0014,0.0003,0.0007,-0.0003,0.0003,-0.0012,-0.0018,-0.0003,-0.0000,0.0006,0.0007,0.0009,0.0015,-0.0024,-0.0007,-0.0006,0.0001,-0.0010,-0.0004
0.50,0.9902,0.0071,0.0034,0.0002,-0.0014,0.0021,0.0007,-0.0010,0.0021,-0.0000,-0.0004,-0.0007,0.0000,-0.0001,-0.0008,0.0010,-0.0018,0.0025,0.0005,0.0000,-0.0018,0.0002,0.0009,0.0005,0.0003,-0.0006,-0.0010,-0.0005,0.0007,-0.0002,0.0003,0.0004,0.0008,0.0002,0.0003,-0.0011,-0.0003,0.0016,0.0003,0.0024,0.0008,0.0016,0.0003,-0.0013,0.0012,0.0014,-0.0009,-0.0001,0.0000,-0.0007
0.51,0.9865,0.0119,0.0028,0.0014,0.0008,0.0009,-0.0014,-0.0018,0.0009,0.0000,-0.0003,0.0008,0.0004,0.0003,-0.0002,0.0011,-0.0001,-0.0007,-0.0011,0.0008,-0.0000,0.0010,0.0003,0.0006,0.0001,0.0005,-0.0001,0.0017,-0.0003,0.0002,0.0002,-0.0002,-0.0005,-0.0012,0.0012,-0.0010,0.0012,-0.0004,0.0015,-0.0007,0.0003,0.0006,0.0007,-0.0005,-0.0005,0.0012,0.0008,0.0007,0.0008,0.0001
0.52,0.8705,0.0019,-0.0015,0.0015,-0.0015,0.0018,-0.0000,-0.0002,-0.0005,-0.0003,-0.0002,-0.0008,-0.0013,0.0006,0.0016,0.0020,-0.0005,0.0002,0.0013,-0.0008,0.0021,0.0004,0.0015,0.0004,0.0002,-0.0001,0.0005,-0.0010,0.0008,-0.0008,-0.0000,-0.0006,0.0013,0.0001,-0.0002,-0.0002,-0.0008,0.0007,-0.0001,-0.0019,0.0008,-0.0002,-0.0011,0.0009,0.0009,0.0005,0.0006,-0.0006,0.0003,0.0006
0.53,0.8504,0.0009,0.0016,-0.0006,0.0010,-0.0007,0.0007,0.0010,0.0005,0.0002,0.0016,0.0004,0.0014,-0.0009,0.0006,-0.0002,0.0004,0.0007,0.0001,0.0013,0.0009,0.0010,-0.0022,-0.0018,0.0012,0.0006,0.0001,-0.0011,0.0005,0.0021,0.0003,-0.0004,0.0004,0.0014,-0.0002,0.0015,0.0006,-0.0006,0.0000,-0.0004,0.0006,-0.0003,-0.0017,-0.0006,-0.0015,-0.0002,0.0009,-0.0010,0.0005,0.0007
0.54,0.8552,0.0009,0.0017,-0.0020,0.0005,-0.0007,0.0018,-0.0012,-0.0005,0.0007,0.0005,0.0011,-0.0000,0.0013,0.0009,-0.0015,-0.0005,0.0010,-0.0005,-0.0004,-0.0017,-0.0012,-0.0002,0.0011,0.0012,-0.0007,-0.0007,0.0009,-0.0009,-0.0005,0.0007,-0.0005,-0.0003,0.0015,0.0008,-0.0001,0.0004,-0.0002,-0.0022,-0.0001,-0.0004,-0.0012,-0.0006,-0.0009,0.0001,0.0001,-0.0007,0.0005,0.0006,0.0016
0.55,0.1715,0.0003,-0.0006,-0.0010,-0.0003,-0.0006,-0.0010,0.0003,0.0014,-0.0007,0.0003,0.0002,-0.0010,-0.0004,0.0006,0.0012,-0.0006,-0.0005,0.0011,-0.0003,-0.0015,0.0014,-0.0005,0.0007,0.0000,0.0003,-0.0007,0.0001,0.0006,-0.0014,-0.0009,-0.0003,0.0005,-0.0010,-0.0001,0.0004,-0.0001,-0.0001,0.0005,-0.0008,0.0009,0.0008,-0.0000,0.0008,0.0001,0.0016,0.0008,0.0014,0.0002,-0.0023
