disorder,step,phi_a,phi_b,q12
1,67984,0.183370,0.418617,0.032303
1,68000,0.147346,0.407036,-0.013915
1,68016,0.166297,0.398637,0.030021
1,68032,0.155487,0.421696,0.140957
1,68048,0.130817,0.357990,0.100162
1,68064,0.184321,0.338677,0.075446
1,68080,0.234379,0.404483,-0.006381
1,68096,0.245213,0.352231,-0.055577
1,68112,0.219715,0.359711,-0.049752
1,68128,0.190371,0.380067,-0.060140
1,68144,0.205531,0.400628,-0.055831
1,68160,0.200282,0.395835,-0.050358
1,68176,0.139712,0.405630,0.001037
1,68192,0.097630,0.349600,-0.064468
1,68208,0.163724,0.353552,-0.029445
1,68224,0.124333,0.397333,-0.061826
1,68240,0.109242,0.423338,-0.098868
1,68256,0.111164,0.430225,-0.085886
1,68272,0.133845,0.422394,-0.159292
1,68288,0.126079,0.403763,-0.188785
1,68304,0.099409,0.378360,-0.291963
1,68320,0.123281,0.378194,-0.177810
1,68336,0.130231,0.383414,-0.087018
1,68352,0.160137,0.334101,-0.056180
1,68368,0.109248,0.377654,-0.023002
1,68384,0.151635,0.372489,0.049116
1,68400,0.131291,0.382713,-0.023218
1,68416,0.042701,0.402812,-0.074818
1,68432,0.059822,0.375427,-0.052773
1,68448,0.103871,0.376881,-0.071278
1,68464,0.153066,0.366179,-0.027845
1,68480,0.150271,0.369149,-0.069476
1,68496,0.145700,0.305275,0.025379
1,68512,0.043900,0.279578,-0.064877
1,68528,0.071556,0.351672,-0.048743
1,68544,0.114265,0.382321,-0.045644
1,68560,0.167145,0.394028,-0.015941
1,68576,0.196810,0.420920,-0.029600
1,68592,0.233551,0.508454,0.205503
1,68608,0.249261,0.490900,0.179698
1,68624,0.243646,0.533215,0.085827
1,68640,0.179512,0.507763,0.060163
1,68656,0.206653,0.419141,-0.026066
1,68672,0.161201,0.438469,-0.108481
1,68688,0.192135,0.454558,0.021588
1,68704,0.175976,0.452407,0.019784
1,68720,0.096418,0.418409,-0.000137
1,68736,0.118453,0.390601,-0.014694
1,68752,0.110027,0.424005,-0.059915
1,68768,0.153933,0.454493,0.012049
1,68784,0.162506,0.486211,0.065615
1,68800,0.118995,0.463386,0.102281
1,68816,0.098443,0.458732,0.068049
1,68832,0.104726,0.467927,-0.006356
1,68848,0.146148,0.491567,0.032902
1,68864,0.119892,0.517870,-0.023578
1,68880,0.159370,0.494971,-0.057175
1,68896,0.128462,0.493973,-0.091721
1,68912,0.141212,0.535894,-0.137338
1,68928,0.174826,0.501406,-0.086101
1,68944,0.168605,0.483475,-0.152069
1,68960,0.156474,0.471619,-0.115472
1,68976,0.150628,0.467856,-0.138761
1,68992,0.169821,0.459467,-0.148723
1,69008,0.175373,0.420059,-0.179127
1,69024,0.199437,0.450818,-0.078856
1,69040,0.242946,0.438479,-0.063862
1,69056,0.228580,0.472027,-0.014430
1,69072,0.238763,0.438203,0.026272
1,69088,0.309027,0.451114,0.029921
1,69104,0.236581,0.452273,-0.002863
1,69120,0.202861,0.442227,-0.057603
1,69136,0.172955,0.429748,-0.109605
1,69152,0.227314,0.385779,-0.094250
1,69168,0.248893,0.338624,-0.147125
1,69184,0.314141,0.328634,-0.209447
1,69200,0.299747,0.364263,-0.185216
1,69216,0.306171,0.406776,-0.172660
1,69232,0.205459,0.415730,-0.139844
1,69248,0.151642,0.471926,-0.167733
1,69264,0.124891,0.449278,-0.154795
1,69280,0.085654,0.433089,-0.206767
1,69296,0.135459,0.391062,-0.148112
1,69312,0.111315,0.355107,-0.111165
1,69328,0.092917,0.380820,-0.157606
1,69344,0.123152,0.407673,-0.124176
1,69360,0.140160,0.454612,-0.131568
1,69376,0.116893,0.430397,-0.117773
