alpha,T,N,t_escape,t_centroid,mu_escape,phi_1mu,Dv_retrieval,Dv_prebarrier,Dv_postbarrier,Dv_centroid
0.20,0.80,50,152,1744,4539,0.5596,1.0228e-03,NaN,8.6943e-04,5.0187e-05
0.20,0.80,50,8632,8836,3390,0.5405,2.3653e-05,NaN,1.9481e-02,1.7349e-03
0.20,0.80,50,5520,-1,19038,0.5654,3.5752e-05,NaN,2.1933e-04,NaN
0.20,0.80,50,2408,-1,3413,0.5537,7.2102e-05,NaN,1.3429e-04,NaN
0.20,0.80,50,9468,9672,3376,0.5874,2.2908e-05,NaN,2.3371e-02,1.1331e-02
0.20,0.80,50,2192,-1,13472,0.5557,8.1469e-05,NaN,1.3032e-04,NaN
0.20,0.80,50,440,-1,11803,0.5483,2.9843e-04,NaN,1.0027e-04,NaN
0.20,0.80,50,5492,-1,3073,0.5400,3.0067e-05,NaN,2.0097e-04,NaN
0.20,0.80,50,344,-1,2242,0.6230,4.5018e-04,NaN,2.1244e-04,NaN
0.20,0.80,50,2640,8992,6392,0.5288,5.6581e-05,NaN,1.9971e-04,2.3524e-03
0.20,0.80,50,388,-1,1707,0.5117,3.4170e-04,NaN,9.9416e-05,NaN
0.20,0.80,50,9500,9704,713,0.5488,2.3938e-05,NaN,4.5700e-03,6.5272e-03
0.20,0.80,50,1344,1548,17283,0.6289,1.5061e-04,NaN,1.4038e-02,1.8320e-03
0.20,0.80,50,7520,-1,8904,0.5767,2.8404e-05,NaN,1.9353e-03,NaN
0.20,0.80,50,8720,-1,16605,0.5024,2.1886e-05,NaN,3.0338e-03,NaN
0.20,0.80,50,8320,-1,3690,0.5732,2.7227e-05,NaN,1.2054e-03,NaN
0.20,0.80,50,1816,-1,1531,0.5415,8.4589e-05,NaN,6.6582e-05,NaN
0.20,0.80,50,112,-1,13334,0.5264,8.4289e-04,NaN,8.6129e-05,NaN
0.20,0.80,50,7956,-1,9198,0.5942,2.9900e-05,NaN,4.9973e-04,NaN
