alpha,T,disorder,phi_a,phi_b,q12,phi_max_other
0.300,1.6000,2,0.045682,-0.041175,-0.072014,0.797572
0.300,0.1000,3,0.895307,0.896465,0.933204,0.893233
0.300,0.6000,3,0.056201,0.271239,-0.136622,0.837809
0.300,1.1000,3,-0.101952,0.196332,-0.009481,0.820110
0.300,1.6000,3,-0.042125,0.141801,-0.119593,0.788317
0.300,0.1000,4,0.830386,0.827553,0.952091,0.881176
0.300,0.6000,4,0.244386,0.773027,0.284873,0.829638
0.300,1.1000,4,0.019358,-0.101577,0.053937,0.820886
0.300,1.6000,4,0.100072,-0.155444,0.018043,0.797644
0.300,0.1000,5,0.958961,0.822367,0.786228,0.623806
0.300,0.6000,5,0.245446,0.141235,0.065884,0.837274
0.300,1.1000,5,-0.107255,-0.111916,0.053925,0.827288
0.300,1.6000,5,0.084623,0.010999,-0.086386,0.797151
0.300,0.1000,6,0.875600,0.840695,0.699732,0.876395
0.300,0.6000,6,0.007326,0.042535,-0.063236,0.842158
0.300,1.1000,6,0.154597,0.150738,-0.020965,0.819472
0.300,1.6000,6,-0.126715,-0.189392,-0.017263,0.804069
0.300,0.1000,7,0.834114,0.834634,0.957192,0.827483
0.300,0.6000,7,-0.002877,-0.076225,-0.135457,0.845334
0.300,1.1000,7,0.009800,0.122469,0.008451,0.817344
0.300,1.6000,7,0.031843,0.052767,-0.109817,0.797152
0.300,0.1000,8,0.853807,0.890428,0.904600,0.845549
0.300,0.6000,8,0.452643,-0.213286,-0.180040,0.841733
0.300,1.1000,8,-0.070132,-0.116868,0.101962,0.820723
0.300,1.6000,8,0.077289,0.189539,-0.080008,0.797674
0.300,0.1000,9,0.962140,0.950674,0.915708,0.617008
0.300,0.6000,9,0.160251,0.352489,0.017190,0.843904
0.300,1.1000,9,0.052238,-0.028693,0.006458,0.815309
0.300,1.6000,9,-0.024543,-0.050423,0.068511,0.792871
0.300,0.1000,10,0.815885,0.809491,0.677264,0.860500
0.300,0.6000,10,0.461021,-0.238829,-0.180671,0.841559
0.300,1.1000,10,0.027515,-0.021095,0.075946,0.827035
0.300,1.6000,10,-0.098568,0.033170,-0.001273,0.804136
0.350,0.1000,1,0.795956,0.830122,0.649882,0.823638
0.350,0.6000,1,-0.130761,-0.058811,0.072380,0.832309
0.350,1.1000,1,0.024689,0.017100,0.045470,0.807440
0.350,1.6000,1,-0.020161,0.188627,-0.006635,0.795745
0.350,0.1000,2,0.810616,0.584302,0.443571,0.827914
0.350,0.6000,2,0.044858,-0.003138,0.024054,0.831747
0.350,1.1000,2,0.084965,-0.126674,0.008814,0.811285
0.350,1.6000,2,0.037260,-0.071699,0.015061,0.792994
0.350,0.1000,3,0.749191,0.809213,0.735142,0.857620
0.350,0.6000,3,0.134040,-0.044832,-0.028931,0.832154
0.350,1.1000,3,0.041830,0.037388,0.037500,0.814025
0.350,1.6000,3,0.027821,-0.183014,-0.012626,0.788984
0.350,0.1000,4,0.489928,0.785767,0.366407,0.850539
0.350,0.6000,4,0.538876,-0.034905,-0.076898,0.844454
0.350,1.1000,4,0.045262,-0.052054,-0.027026,0.810867
0.350,1.6000,4,-0.039203,0.058334,-0.026032,0.796079
0.350,0.1000,5,0.632524,0.814010,0.455044,0.824652
0.350,0.6000,5,0.002050,-0.300630,0.037718,0.834211
0.350,1.1000,5,0.072812,0.051066,0.044073,0.809617
0.350,1.6000,5,-0.026346,-0.069063,0.021594,0.797333
0.350,0.1000,6,0.786961,0.812602,0.615833,0.820179
0.350,0.6000,6,-0.035838,-0.013023,-0.035242,0.823362
0.350,1.1000,6,0.157631,-0.059707,-0.005932,0.805343
0.350,1.6000,6,-0.093386,-0.110040,-0.064546,0.791704
0.350,0.1000,7,0.600449,0.782738,0.744419,0.862845
0.350,0.6000,7,0.040162,0.059805,-0.085213,0.830437
0.350,1.1000,7,0.031899,-0.029826,-0.000904,0.809601
0.350,1.6000,7,-0.007924,0.047420,0.051384,0.797156
0.350,0.1000,8,0.817635,0.823867,0.746045,0.834709
0.350,0.6000,8,0.103932,-0.071481,0.065349,0.827164
0.350,1.1000,8,-0.009175,0.036803,0.094099,0.817458
0.350,1.6000,8,0.051914,0.124888,-0.035228,0.789820
