# N=500  K=10000  N_REFRESH=100  betanet=1.0  generated=2026-06-01T11:33:01.514
alpha,T,disorder,phi_a,phi_b,q12,phi_max_other
0.400,0.34103,12,0.842977,0.841952,0.708267,0.737141
0.400,0.34103,13,0.851073,0.849247,0.722252,0.737369
0.400,0.34103,14,0.842572,0.838916,0.709523,0.737114
0.400,0.34103,15,0.838956,0.837880,0.697035,0.737197
0.400,0.34103,16,0.844974,0.846131,0.720816,0.737397
0.400,0.37158,1,0.832787,0.836567,0.695408,0.736516
0.400,0.37158,2,0.835802,0.830417,0.689283,0.736784
0.400,0.37158,3,0.831227,0.829565,0.680565,0.736755
0.400,0.37158,4,0.829751,0.832331,0.696132,0.736869
0.400,0.37158,5,0.831705,0.832084,0.691149,0.736458
0.400,0.37158,6,0.833347,0.840582,0.700393,0.736655
0.400,0.37158,7,0.828643,0.841409,0.698245,0.736788
0.400,0.37158,8,0.827423,0.832373,0.686074,0.736609
0.400,0.37158,9,0.828989,0.830612,0.678618,0.736643
0.400,0.37158,10,0.833833,0.833396,0.693067,0.736863
0.400,0.37158,11,0.832607,0.835906,0.684524,0.736767
0.400,0.37158,12,0.835204,0.825069,0.690265,0.736535
0.400,0.37158,13,0.825889,0.835269,0.685292,0.736527
0.400,0.37158,14,0.831394,0.834883,0.693722,0.736764
0.400,0.37158,15,0.834731,0.829082,0.692254,0.736761
0.400,0.37158,16,0.836395,0.825586,0.691337,0.736825
0.400,0.40213,1,0.821215,0.824339,0.682843,0.735969
0.400,0.40213,2,0.824159,-0.045144,-0.036102,0.735956
0.400,0.40213,3,0.819006,0.817445,0.670382,0.736003
0.400,0.40213,4,0.261737,0.817051,0.212892,0.730029
0.400,0.40213,5,0.819926,0.826789,0.680103,0.735879
0.400,0.40213,6,0.831444,-0.001611,0.002099,0.735990
0.400,0.40213,7,0.002669,0.821657,-0.011522,0.728127
0.400,0.40213,8,0.325893,0.814388,0.273800,0.730978
0.400,0.40213,9,0.817361,0.818374,0.670559,0.736050
0.400,0.40213,10,0.819139,0.814760,0.660173,0.735929
0.400,0.40213,11,-0.021765,0.812852,-0.013072,0.727853
0.400,0.40213,12,0.817065,-0.019593,-0.017815,0.735988
0.400,0.40213,13,0.817518,0.822976,0.667405,0.736209
0.400,0.40213,14,0.302300,0.811152,0.245795,0.730189
0.400,0.40213,15,0.820680,0.817671,0.678543,0.736063
