======================================================================
Finite-Size Scaling for LSE (CPU, 10 threads)
  α = 0.2
  N values: [20, 25, 30, 35]
  T values: 40 (exponential grid, T_max = 1.0)
  n_dis = 200, N_eq = 16384, N_samp = 4096
  Total trials: 32000
======================================================================

  T=0.0121: ⟨φ⟩=0.994, ⟨φ_{1,max}⟩=0.521 (44.6 s)
  T=0.0153: ⟨φ⟩=0.993, ⟨φ_{1,max}⟩=0.519 (44.3 s)
  T=0.0189: ⟨φ⟩=0.991, ⟨φ_{1,max}⟩=0.521 (50.0 s)
  T=0.0229: ⟨φ⟩=0.989, ⟨φ_{1,max}⟩=0.523 (48.9 s)
  T=0.0272: ⟨φ⟩=0.987, ⟨φ_{1,max}⟩=0.518 (44.6 s)
  T=0.0321: ⟨φ⟩=0.985, ⟨φ_{1,max}⟩=0.519 (49.5 s)
  T=0.0374: ⟨φ⟩=0.982, ⟨φ_{1,max}⟩=0.523 (48.4 s)
  T=0.0433: ⟨φ⟩=0.979, ⟨φ_{1,max}⟩=0.513 (47.5 s)
  T=0.0498: ⟨φ⟩=0.976, ⟨φ_{1,max}⟩=0.523 (44.7 s)
  T=0.0570: ⟨φ⟩=0.973, ⟨φ_{1,max}⟩=0.520 (45.6 s)
  T=0.0650: ⟨φ⟩=0.969, ⟨φ_{1,max}⟩=0.516 (47.7 s)
  T=0.0738: ⟨φ⟩=0.965, ⟨φ_{1,max}⟩=0.520 (48.6 s)
  T=0.0835: ⟨φ⟩=0.960, ⟨φ_{1,max}⟩=0.516 (47.1 s)
  T=0.0942: ⟨φ⟩=0.955, ⟨φ_{1,max}⟩=0.516 (43.7 s)
  T=0.1061: ⟨φ⟩=0.950, ⟨φ_{1,max}⟩=0.518 (50.3 s)
  T=0.1192: ⟨φ⟩=0.944, ⟨φ_{1,max}⟩=0.522 (54.5 s)
  T=0.1337: ⟨φ⟩=0.937, ⟨φ_{1,max}⟩=0.520 (46.1 s)
  T=0.1497: ⟨φ⟩=0.930, ⟨φ_{1,max}⟩=0.522 (46.6 s)
