# N=50  K_max=10000  betanet=1.0000  generated=2026-06-05T13:37:54.565
alpha,T,disorder,phi,mode,logC
0.300,0.20000,9,0.913429,smart,-22.1195
0.300,0.22500,9,0.898633,smart,-22.1195
0.300,0.25000,9,0.881568,smart,-22.1195
0.300,0.27500,9,0.871201,smart,-22.1195
0.300,0.30000,9,0.856325,smart,-22.1195
0.300,0.32500,9,0.512958,smart,-22.1195
0.300,0.35000,9,0.831622,smart,-22.1195
0.300,0.37500,9,0.823503,smart,-22.1195
0.300,0.40000,9,0.359947,smart,-22.1195
0.300,0.42500,9,0.493287,smart,-22.1195
0.300,0.45000,9,0.315536,smart,-22.1195
0.300,0.47500,9,0.360186,smart,-22.1195
0.300,0.50000,9,0.340498,smart,-22.1195
0.300,0.02500,10,0.987735,smart,-22.1297
0.300,0.05000,10,0.975031,smart,-22.1297
0.300,0.07500,10,0.963069,smart,-22.1297
0.300,0.10000,10,0.948379,smart,-22.1297
0.300,0.12500,10,0.937289,smart,-22.1297
0.300,0.15000,10,0.930152,smart,-22.1297
0.300,0.17500,10,0.919490,smart,-22.1297
0.300,0.20000,10,0.908524,smart,-22.1297
0.300,0.22500,10,0.889738,smart,-22.1297
0.300,0.25000,10,0.876544,smart,-22.1297
0.300,0.27500,10,0.880459,smart,-22.1297
0.300,0.30000,10,0.870056,smart,-22.1297
0.300,0.32500,10,0.850222,smart,-22.1297
0.300,0.35000,10,0.835208,smart,-22.1297
0.300,0.37500,10,0.377026,smart,-22.1297
0.300,0.40000,10,0.409784,smart,-22.1297
0.300,0.42500,10,0.335475,smart,-22.1297
0.300,0.45000,10,0.330359,smart,-22.1297
0.300,0.47500,10,0.323539,smart,-22.1297
0.300,0.50000,10,0.306965,smart,-22.1297
0.300,0.02500,11,0.988755,smart,-22.1168
0.300,0.05000,11,0.976135,smart,-22.1168
0.300,0.07500,11,0.962248,smart,-22.1168
0.300,0.10000,11,0.952780,smart,-22.1168
0.300,0.12500,11,0.941819,smart,-22.1168
0.300,0.15000,11,0.929569,smart,-22.1168
0.300,0.17500,11,0.920609,smart,-22.1168
0.300,0.20000,11,0.904415,smart,-22.1168
0.300,0.22500,11,0.898168,smart,-22.1168
0.300,0.25000,11,0.882066,smart,-22.1168
0.300,0.27500,11,0.883158,smart,-22.1168
0.300,0.30000,11,0.863279,smart,-22.1168
0.300,0.32500,11,0.848586,smart,-22.1168
0.300,0.35000,11,0.846332,smart,-22.1168
0.300,0.37500,11,0.539486,smart,-22.1168
0.300,0.40000,11,0.347780,smart,-22.1168
0.300,0.42500,11,0.352210,smart,-22.1168
0.300,0.45000,11,0.316009,smart,-22.1168
0.300,0.47500,11,0.304897,smart,-22.1168
0.300,0.50000,11,0.313759,smart,-22.1168
0.300,0.02500,12,0.986789,smart,-22.1195
0.300,0.05000,12,0.975530,smart,-22.1195
0.300,0.07500,12,0.960046,smart,-22.1195
0.300,0.10000,12,0.953538,smart,-22.1195
0.300,0.12500,12,0.938239,smart,-22.1195
0.300,0.15000,12,0.929364,smart,-22.1195
0.300,0.17500,12,0.923606,smart,-22.1195
0.300,0.20000,12,0.913335,smart,-22.1195
0.300,0.22500,12,0.896253,smart,-22.1195
0.300,0.25000,12,0.875477,smart,-22.1195
0.300,0.27500,12,0.877277,smart,-22.1195
0.300,0.30000,12,0.875414,smart,-22.1195
0.300,0.32500,12,0.860684,smart,-22.1195
0.300,0.35000,12,0.850674,smart,-22.1195
