alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.11,0.9987,0.9988,0.9986,0.9928,0.9441,0.8708,0.8425,0.8224,0.8024,0.7828,0.7624,0.7449,0.7230,0.6848,0.5945,0.4446,0.2728,0.1340,0.0322,0.0019,-0.0020,0.0023,0.0022,-0.0033,0.0002,-0.0002,-0.0005,0.0020,0.0032,-0.0018,-0.0002,0.0020,-0.0001,-0.0008,0.0004,0.0021,0.0009,-0.0001,-0.0005,-0.0002,0.0019,0.0007,-0.0008,0.0008,-0.0002,-0.0005,-0.0011,-0.0008,0.0000,-0.0007
0.12,0.9988,0.9988,0.9983,0.9887,0.9373,0.8690,0.8418,0.8217,0.8019,0.7808,0.7593,0.7286,0.6757,0.5805,0.4157,0.2391,0.0813,0.0211,0.0025,0.0013,-0.0009,-0.0012,-0.0024,0.0016,0.0013,0.0008,-0.0006,0.0007,0.0008,-0.0003,0.0000,0.0001,0.0006,-0.0017,0.0012,-0.0006,0.0004,-0.0017,0.0007,0.0008,-0.0014,-0.0002,-0.0014,-0.0006,0.0003,-0.0002,0.0010,0.0002,0.0017,0.0005
0.13,0.9988,0.9987,0.9983,0.9873,0.9232,0.8695,0.8423,0.8221,0.8018,0.7779,0.7411,0.6959,0.6111,0.4117,0.2221,0.0705,0.0068,0.0026,0.0075,0.0029,0.0035,-0.0013,0.0003,0.0015,0.0016,0.0016,-0.0008,0.0008,-0.0001,-0.0006,0.0022,-0.0004,0.0012,0.0012,0.0032,-0.0003,0.0020,-0.0011,0.0004,-0.0018,-0.0000,-0.0009,0.0014,-0.0005,0.0012,0.0018,-0.0012,-0.0001,0.0007,-0.0004
0.14,0.9988,0.9988,0.9981,0.9809,0.9231,0.8680,0.8424,0.8211,0.8020,0.7780,0.7315,0.6494,0.4844,0.2521,0.1116,0.0172,0.0008,-0.0018,-0.0010,-0.0017,0.0005,-0.0027,0.0010,0.0021,0.0013,0.0021,0.0004,0.0017,0.0026,-0.0003,-0.0008,0.0017,0.0013,0.0011,-0.0002,-0.0000,0.0012,-0.0004,0.0006,0.0013,0.0004,0.0002,-0.0003,0.0013,0.0001,0.0001,-0.0006,0.0011,0.0002,0.0015
0.15,0.9988,0.9988,0.9968,0.9802,0.9147,0.8653,0.8427,0.8212,0.7990,0.7617,0.6981,0.5437,0.2788,0.0695,0.0211,0.0009,-0.0029,0.0016,-0.0018,0.0004,-0.0008,-0.0018,0.0003,0.0018,-0.0013,0.0028,-0.0011,-0.0011,-0.0013,0.0019,0.0027,0.0007,0.0004,-0.0008,-0.0014,-0.0007,-0.0002,0.0014,-0.0002,0.0026,0.0007,0.0006,0.0007,0.0007,0.0000,-0.0001,0.0004,0.0005,0.0006,-0.0008
0.16,0.9988,0.9988,0.9969,0.9801,0.9124,0.8645,0.8387,0.8205,0.7928,0.7166,0.5770,0.3186,0.0980,0.0184,0.0032,0.0064,0.0056,0.0046,-0.0009,0.0010,0.0001,-0.0009,-0.0003,0.0016,0.0001,0.0004,0.0008,0.0004,-0.0007,0.0006,-0.0001,0.0001,0.0004,0.0005,0.0008,-0.0011,-0.0014,0.0007,-0.0009,0.0003,0.0021,-0.0011,0.0006,0.0019,-0.0006,0.0018,-0.0003,0.0005,0.0007,0.0004
0.17,0.9988,0.9988,0.9963,0.9735,0.9053,0.8641,0.8434,0.8129,0.7530,0.6355,0.3402,0.1160,0.0141,-0.0016,-0.0044,0.0013,0.0006,0.0043,0.0001,0.0018,0.0005,-0.0004,-0.0012,0.0008,0.0010,-0.0001,0.0011,0.0000,-0.0015,0.0023,0.0016,0.0011,-0.0002,-0.0002,-0.0003,0.0014,0.0005,-0.0001,0.0022,0.0010,-0.0009,0.0001,-0.0006,-0.0005,0.0007,0.0004,0.0000,0.0022,0.0015,-0.0003
0.18,0.9988,0.9988,0.9964,0.9680,0.9021,0.8646,0.8408,0.8018,0.6758,0.4763,0.2014,0.0235,-0.0091,0.0006,0.0039,0.0004,-0.0004,-0.0027,0.0005,0.0035,0.0001,-0.0024,-0.0008,-0.0016,0.0023,0.0018,-0.0010,0.0010,-0.0010,-0.0001,-0.0003,0.0002,0.0009,0.0014,0.0011,0.0004,0.0008,-0.0000,-0.0014,0.0001,-0.0003,-0.0007,0.0005,-0.0006,0.0005,-0.0004,-0.0001,-0.0000,0.0004,0.0009
0.19,0.9988,0.9986,0.9966,0.9647,0.8982,0.8646,0.8316,0.7619,0.5987,0.3044,0.0523,0.0156,0.0026,0.0068,-0.0011,-0.0013,0.0016,-0.0006,-0.0025,0.0010,-0.0002,0.0003,0.0032,0.0004,0.0016,0.0017,0.0018,0.0012,0.0003,0.0010,0.0006,0.0004,-0.0006,0.0010,-0.0009,-0.0010,-0.0013,-0.0005,-0.0021,-0.0013,-0.0010,0.0004,-0.0012,0.0025,0.0004,0.0011,0.0010,0.0006,-0.0003,0.0012
0.20,0.9988,0.9988,0.9948,0.9603,0.8985,0.8643,0.8295,0.7344,0.5526,0.1801,0.0190,-0.0010,-0.0007,-0.0033,-0.0014,0.0025,0.0049,0.0019,0.0005,-0.0013,0.0005,0.0006,0.0009,-0.0002,0.0002,0.0002,0.0006,0.0001,-0.0000,-0.0004,0.0010,0.0007,-0.0000,0.0015,0.0001,-0.0006,-0.0004,-0.0003,-0.0002,0.0006,0.0004,0.0008,-0.0001,0.0008,0.0010,0.0005,-0.0003,0.0001,0.0002,0.0007
0.21,0.9988,0.9987,0.9930,0.9549,0.8925,0.8613,0.8095,0.6412,0.3015,0.0620,0.0037,-0.0027,0.0026,0.0005,0.0016,0.0007,0.0016,0.0015,-0.0004,-0.0002,0.0025,-0.0007,-0.0008,0.0023,0.0021,-0.0014,0.0007,-0.0006,0.0007,-0.0003,0.0002,0.0001,-0.0016,0.0006,0.0011,0.0002,0.0005,-0.0003,0.0003,0.0003,-0.0002,0.0006,0.0005,0.0001,-0.0006,0.0015,-0.0007,-0.0003,0.0001,0.0007
0.22,0.9988,0.9988,0.9966,0.9580,0.8894,0.8510,0.7723,0.5503,0.1851,0.0330,0.0009,0.0020,-0.0007,-0.0003,0.0007,0.0035,0.0008,0.0004,0.0011,-0.0002,0.0003,-0.0010,-0.0012,0.0017,0.0011,-0.0005,0.0002,0.0022,0.0013,0.0005,-0.0002,-0.0002,0.0015,-0.0010,-0.0000,-0.0002,0.0000,0.0009,-0.0000,-0.0007,-0.0000,0.0004,0.0005,0.0018,0.0011,0.0018,-0.0003,0.0005,0.0015,-0.0001
0.23,0.9988,0.9987,0.9925,0.9486,0.8904,0.8233,0.6698,0.3473,0.0492,0.0064,-0.0033,0.0082,-0.0010,-0.0011,-0.0015,0.0026,0.0016,0.0015,-0.0003,0.0001,-0.0023,0.0004,0.0016,0.0003,-0.0013,-0.0005,0.0009,-0.0005,-0.0002,0.0004,-0.0001,-0.0011,0.0022,0.0000,-0.0002,0.0004,0.0011,0.0016,0.0005,-0.0010,0.0011,-0.0008,-0.0010,-0.0001,-0.0001,-0.0005,0.0011,-0.0004,-0.0011,-0.0003
0.24,0.9988,0.9988,0.9908,0.9405,0.8845,0.8128,0.6058,0.1822,0.0079,-0.0071,0.0005,-0.0034,-0.0014,0.0011,-0.0024,-0.0004,0.0010,-0.0004,0.0010,0.0004,-0.0006,0.0009,0.0005,0.0017,-0.0013,0.0020,0.0007,0.0004,0.0000,0.0004,0.0005,0.0001,-0.0003,0.0004,0.0003,0.0002,0.0002,0.0001,-0.0004,-0.0001,0.0008,0.0005,-0.0008,-0.0002,0.0003,0.0008,-0.0007,-0.0006,0.0004,0.0007
0.25,0.9988,0.9988,0.9895,0.9425,0.8826,0.8000,0.4513,0.0993,0.0064,0.0020,-0.0007,-0.0026,0.0027,0.0004,0.0015,0.0018,-0.0008,0.0004,0.0007,-0.0018,0.0014,-0.0002,-0.0007,-0.0001,-0.0015,-0.0007,0.0013,-0.0009,0.0002,0.0004,0.0005,0.0009,0.0000,0.0019,0.0004,-0.0009,-0.0004,0.0001,0.0003,0.0003,0.0002,-0.0002,-0.0005,0.0015,-0.0001,0.0001,-0.0004,-0.0007,-0.0011,0.0006
0.26,0.9988,0.9987,0.9905,0.9402,0.8679,0.7184,0.2981,0.0227,0.0025,-0.0012,0.0006,0.0014,-0.0008,0.0010,-0.0003,-0.0004,-0.0000,-0.0025,0.0008,-0.0015,0.0002,-0.0003,-0.0004,-0.0002,0.0000,0.0010,-0.0012,-0.0003,0.0002,-0.0005,-0.0005,0.0001,0.0001,-0.0001,0.0000,0.0006,-0.0000,0.0008,-0.0000,-0.0011,0.0001,0.0007,-0.0011,0.0006,0.0001,0.0002,0.0011,-0.0003,0.0004,-0.0005
0.27,0.9988,0.9987,0.9887,0.9280,0.8439,0.5828,0.1624,-0.0058,0.0060,0.0025,0.0012,0.0012,-0.0003,0.0010,0.0001,-0.0014,0.0013,0.0003,0.0006,-0.0013,0.0001,0.0012,0.0004,0.0004,0.0004,0.0002,0.0005,0.0005,0.0011,-0.0003,0.0011,-0.0014,0.0021,-0.0017,0.0003,0.0013,-0.0006,-0.0002,-0.0006,0.0009,0.0005,-0.0006,-0.0005,-0.0008,-0.0002,-0.0000,-0.0011,-0.0004,0.0006,0.0005
0.28,0.9988,0.9982,0.9857,0.9269,0.8288,0.4534,0.0466,-0.0001,0.0025,0.0008,-0.0023,0.0030,0.0021,0.0003,-0.0019,0.0014,0.0001,-0.0008,0.0012,0.0005,-0.0002,0.0006,0.0003,-0.0001,-0.0004,0.0012,0.0014,0.0001,0.0003,-0.0001,-0.0009,-0.0006,-0.0011,0.0001,-0.0002,0.0005,0.0006,-0.0005,0.0005,0.0003,-0.0002,0.0005,0.0004,0.0015,-0.0001,0.0007,-0.0002,0.0011,-0.0006,-0.0012
0.29,0.9988,0.9987,0.9858,0.9044,0.7476,0.2761,0.0061,-0.0011,0.0063,-0.0020,-0.0005,0.0006,0.0004,0.0033,0.0006,0.0001,-0.0019,-0.0008,-0.0007,-0.0001,-0.0004,0.0001,0.0013,0.0008,0.0006,0.0007,0.0020,0.0006,0.0012,0.0007,0.0006,0.0017,0.0010,-0.0020,-0.0001,0.0011,-0.0009,-0.0006,0.0000,-0.0015,-0.0013,-0.0001,0.0009,0.0008,-0.0008,-0.0007,0.0004,-0.0001,0.0000,-0.0003
0.30,0.9988,0.9985,0.9811,0.8929,0.6330,0.1113,0.0126,0.0010,-0.0064,0.0015,0.0014,-0.0013,-0.0002,0.0007,-0.0017,0.0005,0.0001,-0.0012,-0.0003,0.0010,0.0006,0.0004,0.0008,-0.0002,-0.0006,0.0017,-0.0002,0.0010,0.0001,-0.0006,-0.0000,0.0016,-0.0006,0.0002,-0.0015,-0.0007,0.0019,-0.0003,-0.0005,-0.0019,-0.0008,0.0010,-0.0005,-0.0006,-0.0004,0.0000,0.0008,-0.0022,0.0007,-0.0006
0.31,0.9988,0.9984,0.9827,0.9109,0.6095,0.0970,0.0063,0.0030,0.0022,-0.0024,-0.0023,0.0013,-0.0017,-0.0004,0.0002,0.0005,0.0003,0.0005,-0.0007,0.0010,-0.0010,0.0005,0.0002,-0.0022,0.0004,0.0006,0.0011,0.0001,-0.0006,-0.0010,-0.0002,0.0003,0.0016,0.0007,-0.0002,0.0004,0.0001,0.0001,0.0003,0.0015,-0.0000,-0.0011,-0.0000,-0.0001,0.0007,0.0007,-0.0005,0.0025,0.0007,0.0007
