# generator=escape_time_hybrid.jl  N=100  N_DIS=32  MAX_STEPS=100000  φ_escape=0.5  generated=2026-06-11T11:24:46.763
alpha,T,disorder,K,tau,escaped
0.620,0.00250,27,1,100000,0
0.500,0.08250,21,1,91354,1
0.580,0.01000,23,1,100000,0
0.550,0.03250,23,1,100000,0
0.600,0.01000,26,1,100000,0
0.500,0.06000,22,1,100000,0
0.620,0.00250,28,1,100000,0
0.500,0.08250,22,1,100000,0
0.580,0.01000,24,1,100000,0
0.600,0.01000,27,1,100000,0
0.550,0.03250,24,1,100000,0
0.620,0.00250,29,1,100000,0
0.500,0.06000,23,1,100000,0
0.500,0.08250,23,1,100000,0
0.600,0.01000,28,1,100000,0
0.620,0.00250,30,1,100000,0
0.580,0.01000,25,1,100000,0
0.550,0.03250,25,1,100000,0
0.500,0.06000,24,1,100000,0
0.620,0.00250,31,1,100000,0
0.600,0.01000,29,1,100000,0
0.500,0.08250,24,1,100000,0
0.580,0.01000,26,1,100000,0
0.550,0.03250,26,1,100000,0
0.500,0.06000,25,1,100000,0
0.620,0.00250,32,1,100000,0
0.600,0.01000,30,1,100000,0
0.500,0.08250,25,1,100000,0
0.580,0.01000,27,1,100000,0
0.550,0.03250,27,1,100000,0
0.500,0.06000,26,1,100000,0
0.620,0.00500,1,1,100000,0
0.600,0.01000,31,1,100000,0
0.580,0.01000,28,1,100000,0
0.500,0.08250,26,1,100000,0
0.620,0.00500,2,1,100000,0
0.500,0.06000,27,1,100000,0
0.550,0.03250,28,1,100000,0
0.600,0.01000,32,1,100000,0
0.580,0.01000,29,1,100000,0
0.500,0.08250,27,1,100000,0
0.620,0.00500,3,1,100000,0
0.500,0.06000,28,1,100000,0
0.600,0.01250,1,1,100000,0
0.550,0.03250,29,1,100000,0
0.580,0.01000,30,1,100000,0
0.620,0.00500,4,1,100000,0
0.500,0.08250,28,1,100000,0
0.600,0.01250,2,1,100000,0
0.500,0.06000,29,1,100000,0
0.550,0.03250,30,1,100000,0
0.620,0.00500,5,1,100000,0
0.580,0.01000,31,1,100000,0
0.500,0.08250,29,1,100000,0
0.600,0.01250,3,1,100000,0
0.500,0.06000,30,1,100000,0
0.550,0.03250,31,1,100000,0
0.620,0.00500,6,1,100000,0
0.580,0.01000,32,1,100000,0
0.600,0.01250,4,1,100000,0
0.500,0.08250,30,1,100000,0
0.500,0.06000,31,1,100000,0
0.550,0.03250,32,1,100000,0
0.620,0.00500,7,1,100000,0
0.580,0.01250,1,1,100000,0
0.600,0.01250,5,1,100000,0
0.500,0.06000,32,1,100000,0
0.500,0.08250,31,1,100000,0
0.550,0.03500,1,1,100000,0
0.620,0.00500,8,1,100000,0
0.580,0.01250,2,1,100000,0
0.500,0.06250,1,1,100000,0
0.500,0.08250,32,1,100000,0
0.600,0.01250,6,1,100000,0
0.620,0.00500,9,1,100000,0
0.550,0.03500,2,1,100000,0
0.580,0.01250,3,1,100000,0
0.500,0.06250,2,1,100000,0
0.600,0.01250,7,1,100000,0
0.620,0.00500,10,1,100000,0
0.500,0.08500,1,1,100000,0
0.550,0.03500,3,1,100000,0
0.580,0.01250,4,1,100000,0
0.600,0.01250,8,1,100000,0
0.500,0.06250,3,1,100000,0
0.620,0.00500,11,1,100000,0
0.550,0.03500,4,1,100000,0
0.500,0.08500,2,1,100000,0
0.580,0.01250,5,1,100000,0
0.600,0.01250,9,1,100000,0
0.500,0.06250,4,1,100000,0
0.620,0.00500,12,1,100000,0
0.550,0.03500,5,1,100000,0
0.500,0.08500,3,1,100000,0
0.600,0.01250,10,1,100000,0
0.580,0.01250,6,1,100000,0
0.620,0.00500,13,1,100000,0
0.500,0.06250,5,1,100000,0
0.550,0.03500,6,1,100000,0
0.500,0.08500,4,1,100000,0
0.600,0.01250,11,1,100000,0
0.580,0.01250,7,1,100000,0
0.620,0.00500,14,1,100000,0
0.500,0.06250,6,1,100000,0
0.550,0.03500,7,1,100000,0
0.600,0.01250,12,1,100000,0
0.500,0.08500,5,1,100000,0
0.620,0.00500,15,1,100000,0
0.580,0.01250,8,1,100000,0
0.500,0.06250,7,1,100000,0
0.600,0.01250,13,1,100000,0
0.550,0.03500,8,1,100000,0
0.620,0.00500,16,1,100000,0
0.500,0.08500,6,1,100000,0
0.580,0.01250,9,1,100000,0
0.500,0.06250,8,1,100000,0
0.600,0.01250,14,1,100000,0
0.620,0.00500,17,1,100000,0
0.550,0.03500,9,1,100000,0
0.500,0.08500,7,1,100000,0
0.500,0.06250,9,1,100000,0
0.580,0.01250,10,1,100000,0
0.600,0.01250,15,1,100000,0
0.620,0.00500,18,1,100000,0
0.550,0.03500,10,1,100000,0
0.500,0.08500,8,1,100000,0
0.500,0.06250,10,1,100000,0
0.580,0.01250,11,1,100000,0
0.600,0.01250,16,1,100000,0
0.620,0.00500,19,1,100000,0
0.550,0.03500,11,1,100000,0
0.500,0.06250,11,1,100000,0
0.580,0.01250,12,1,100000,0
0.600,0.01250,17,1,100000,0
0.500,0.08500,9,1,100000,0
0.620,0.00500,20,1,100000,0
0.550,0.03500,12,1,100000,0
0.600,0.01250,18,1,100000,0
0.500,0.06250,12,1,100000,0
0.620,0.00500,21,1,100000,0
0.580,0.01250,13,1,100000,0
0.500,0.08500,10,1,100000,0
0.600,0.01250,19,1,100000,0
0.550,0.03500,13,1,100000,0
0.500,0.06250,13,1,100000,0
0.620,0.00500,22,1,100000,0
0.580,0.01250,14,1,100000,0
0.500,0.08500,11,1,100000,0
0.600,0.01250,20,1,100000,0
0.620,0.00500,23,1,100000,0
0.500,0.06250,14,1,100000,0
0.550,0.03500,14,1,100000,0
0.580,0.01250,15,1,100000,0
0.500,0.08500,12,1,100000,0
0.600,0.01250,21,1,100000,0
0.620,0.00500,24,1,100000,0
0.500,0.06250,15,1,100000,0
0.580,0.01250,16,1,100000,0
0.550,0.03500,15,1,100000,0
0.500,0.08500,13,1,100000,0
0.600,0.01250,22,1,100000,0
0.620,0.00500,25,1,100000,0
0.500,0.06250,16,1,100000,0
0.500,0.08500,14,1,56024,1
0.580,0.01250,17,1,100000,0
0.550,0.03500,16,1,100000,0
0.600,0.01250,23,1,100000,0
0.620,0.00500,26,1,100000,0
0.500,0.06250,17,1,100000,0
0.500,0.08500,15,1,100000,0
0.580,0.01250,18,1,100000,0
0.550,0.03500,17,1,100000,0
0.600,0.01250,24,1,100000,0
0.620,0.00500,27,1,100000,0
0.580,0.01250,19,1,100000,0
0.500,0.08500,16,1,100000,0
0.550,0.03500,18,1,100000,0
0.600,0.01250,25,1,100000,0
0.500,0.06250,18,1,100000,0
0.620,0.00500,28,1,100000,0
0.500,0.08500,17,1,54446,1
0.500,0.08500,18,1,19448,1
0.550,0.03500,19,1,100000,0
0.580,0.01250,20,1,100000,0
0.600,0.01250,26,1,100000,0
0.500,0.06250,19,1,100000,0
0.620,0.00500,29,1,100000,0
0.500,0.08500,19,1,82363,1
0.600,0.01250,27,1,100000,0
0.580,0.01250,21,1,100000,0
0.550,0.03500,20,1,100000,0
0.620,0.00500,30,1,100000,0
0.500,0.08500,20,1,34409,1
0.500,0.06250,20,1,100000,0
0.600,0.01250,28,1,100000,0
0.580,0.01250,22,1,100000,0
0.620,0.00500,31,1,100000,0
0.550,0.03500,21,1,100000,0
0.500,0.06250,21,1,100000,0
0.500,0.08500,21,1,100000,0
0.600,0.01250,29,1,100000,0
0.620,0.00500,32,1,100000,0
0.620,0.00750,1,1,543,1
0.620,0.00750,2,1,65,1
0.620,0.00750,3,1,317,1
0.620,0.00750,4,1,242,1
0.620,0.00750,5,1,134,1
0.620,0.00750,6,1,135,1
0.580,0.01250,23,1,100000,0
0.620,0.00750,7,1,117,1
0.620,0.00750,8,1,165,1
0.620,0.00750,9,1,84,1
0.620,0.00750,10,1,247,1
0.620,0.00750,11,1,78,1
0.620,0.00750,12,1,69,1
0.620,0.00750,13,1,80,1
0.620,0.00750,14,1,279,1
0.620,0.00750,15,1,1011,1
0.620,0.00750,16,1,583,1
0.620,0.00750,17,1,1415,1
0.550,0.03500,22,1,100000,0
0.620,0.00750,18,1,381,1
0.620,0.00750,19,1,106,1
0.620,0.00750,20,1,94,1
0.620,0.00750,21,1,152,1
0.620,0.00750,22,1,120,1
0.620,0.00750,23,1,73,1
0.620,0.00750,24,1,111,1
0.620,0.00750,25,1,376,1
0.620,0.00750,26,1,253,1
0.620,0.00750,27,1,90,1
0.620,0.00750,28,1,188,1
0.620,0.00750,29,1,62,1
0.620,0.00750,30,1,79,1
0.500,0.06250,22,1,100000,0
0.620,0.00750,31,1,449,1
0.620,0.00750,32,1,87,1
0.620,0.01000,1,1,80,1
0.620,0.01000,2,1,76,1
0.620,0.01000,3,1,76,1
0.620,0.01000,4,1,68,1
0.620,0.01000,5,1,88,1
0.620,0.01000,6,1,64,1
0.620,0.01000,7,1,87,1
0.620,0.01000,8,1,67,1
0.620,0.01000,9,1,89,1
0.620,0.01000,10,1,50,1
0.620,0.01000,11,1,78,1
0.620,0.01000,12,1,52,1
0.500,0.08500,22,1,100000,0
0.620,0.01000,13,1,60,1
0.620,0.01000,14,1,91,1
0.620,0.01000,15,1,75,1
0.620,0.01000,16,1,77,1
0.620,0.01000,17,1,72,1
0.620,0.01000,18,1,72,1
0.620,0.01000,19,1,79,1
0.620,0.01000,20,1,82,1
0.620,0.01000,21,1,45,1
0.620,0.01000,22,1,76,1
0.620,0.01000,23,1,62,1
0.620,0.01000,24,1,75,1
0.620,0.01000,25,1,72,1
0.620,0.01000,26,1,64,1
0.620,0.01000,27,1,52,1
0.620,0.01000,28,1,57,1
0.620,0.01000,29,1,55,1
0.620,0.01000,30,1,68,1
0.620,0.01000,31,1,64,1
0.620,0.01000,32,1,87,1
0.620,0.01250,1,1,77,1
0.620,0.01250,2,1,72,1
0.620,0.01250,3,1,69,1
0.620,0.01250,4,1,52,1
0.620,0.01250,5,1,64,1
0.620,0.01250,6,1,67,1
0.620,0.01250,7,1,56,1
0.620,0.01250,8,1,57,1
0.620,0.01250,9,1,77,1
0.620,0.01250,10,1,61,1
0.620,0.01250,11,1,38,1
0.620,0.01250,12,1,53,1
0.620,0.01250,13,1,62,1
0.620,0.01250,14,1,66,1
0.620,0.01250,15,1,69,1
0.620,0.01250,16,1,50,1
0.620,0.01250,17,1,71,1
0.500,0.08500,23,1,26717,1
0.620,0.01250,18,1,58,1
0.620,0.01250,19,1,56,1
0.620,0.01250,20,1,57,1
0.600,0.01250,30,1,100000,0
0.620,0.01250,21,1,53,1
0.620,0.01250,22,1,60,1
0.620,0.01250,23,1,63,1
0.620,0.01250,24,1,40,1
0.620,0.01250,25,1,58,1
0.620,0.01250,26,1,59,1
0.620,0.01250,27,1,69,1
0.620,0.01250,28,1,61,1
0.620,0.01250,29,1,45,1
0.620,0.01250,30,1,63,1
0.620,0.01250,31,1,66,1
0.620,0.01250,32,1,55,1
0.620,0.01500,1,1,65,1
0.620,0.01500,2,1,55,1
0.620,0.01500,3,1,39,1
0.620,0.01500,4,1,54,1
0.620,0.01500,5,1,56,1
0.620,0.01500,6,1,40,1
0.620,0.01500,7,1,54,1
0.620,0.01500,8,1,31,1
0.620,0.01500,9,1,53,1
0.620,0.01500,10,1,54,1
0.620,0.01500,11,1,63,1
0.620,0.01500,12,1,46,1
0.620,0.01500,13,1,56,1
0.620,0.01500,14,1,42,1
0.620,0.01500,15,1,47,1
0.620,0.01500,16,1,69,1
0.620,0.01500,17,1,62,1
0.620,0.01500,18,1,64,1
0.620,0.01500,19,1,49,1
0.620,0.01500,20,1,36,1
0.620,0.01500,21,1,49,1
0.620,0.01500,22,1,70,1
0.620,0.01500,23,1,47,1
0.620,0.01500,24,1,42,1
0.620,0.01500,25,1,25,1
0.620,0.01500,26,1,62,1
0.620,0.01500,27,1,57,1
0.620,0.01500,28,1,52,1
0.620,0.01500,29,1,43,1
0.620,0.01500,30,1,61,1
0.620,0.01500,31,1,48,1
0.620,0.01500,32,1,54,1
0.620,0.01750,1,1,51,1
0.620,0.01750,2,1,59,1
0.620,0.01750,3,1,42,1
0.620,0.01750,4,1,46,1
0.620,0.01750,5,1,59,1
