# generator=basin_stab_LSE_semismart_AAAI_Nramp.jl  M_TARGET=4.4e+07  K_TARGET=30000  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=64  MEM_BUDGET_GB=40.0  generated=2026-06-07T13:48:36.518
alpha,T,N_used,K_retained,disorder,phi_a,phi_b,q12,phi_max_retained
0.200,0.02500,88,30249,51,0.987549,0.988497,0.977172,0.522515
0.200,0.02500,88,29895,52,0.987816,0.986078,0.974207,0.540487
0.200,0.02500,88,29819,53,0.987709,0.987619,0.976290,0.566942
0.200,0.02500,88,29965,54,0.987032,0.987525,0.974712,0.566616
0.200,0.02500,88,30049,55,0.987949,0.988704,0.976908,0.536719
0.200,0.02500,88,29833,56,0.987348,0.987756,0.975502,0.566522
0.200,0.02500,88,29954,57,0.987407,0.987053,0.974607,0.570415
0.200,0.02500,88,29958,58,0.987490,0.987944,0.974225,0.536924
0.200,0.02500,88,30266,59,0.988733,0.989016,0.975878,0.546269
0.200,0.02500,88,30202,60,0.987403,0.988093,0.975485,0.555963
0.200,0.02500,88,30342,61,0.987363,0.988166,0.976362,0.581633
0.200,0.02500,88,29949,62,0.986351,0.988302,0.974790,0.568112
0.200,0.02500,88,29897,63,0.988366,0.988568,0.977028,0.560307
0.200,0.02500,88,30343,64,0.988218,0.986796,0.975480,0.521515
0.200,0.03500,88,29889,1,0.983349,0.983776,0.967907,0.564175
0.200,0.03500,88,30497,2,0.982933,0.983053,0.967955,0.547929
0.200,0.03500,88,29913,3,0.983858,0.981953,0.964454,0.546691
0.200,0.03500,88,29942,4,0.978822,0.982921,0.960398,0.545079
0.200,0.03500,88,30080,5,0.983575,0.981995,0.969040,0.570919
0.200,0.03500,88,29964,6,0.984275,0.981731,0.967076,0.543773
0.200,0.03500,88,30284,7,0.981754,0.981899,0.963456,0.542151
0.200,0.03500,88,29802,8,0.983362,0.983183,0.967451,0.558890
0.200,0.03500,88,29978,9,0.983173,0.983101,0.965452,0.544191
0.200,0.03500,88,29878,10,0.980993,0.984658,0.965820,0.524456
0.200,0.03500,88,29997,11,0.983719,0.984240,0.970465,0.532042
0.200,0.03500,88,29737,12,0.982030,0.983156,0.966039,0.531789
0.200,0.03500,88,29706,13,0.981644,0.982611,0.964899,0.533181
0.200,0.03500,88,29868,14,0.983368,0.982395,0.963719,0.544733
0.200,0.03500,88,29748,15,0.982236,0.984264,0.965186,0.542176
0.200,0.03500,88,29978,16,0.983836,0.981462,0.966920,0.537391
0.200,0.03500,88,30020,17,0.982900,0.983028,0.966193,0.542984
0.200,0.03500,88,30152,18,0.983890,0.983496,0.966724,0.541676
0.200,0.03500,88,29956,19,0.982750,0.983720,0.965549,0.549025
0.200,0.03500,88,29924,20,0.982938,0.983864,0.967605,0.543653
0.200,0.03500,88,29845,21,0.983335,0.983442,0.968230,0.543579
0.200,0.03500,88,29808,22,0.982374,0.982539,0.964834,0.550857
0.200,0.03500,88,30288,23,0.982281,0.982570,0.965654,0.547391
0.200,0.03500,88,30137,24,0.984111,0.982846,0.968024,0.532251
0.200,0.03500,88,29955,25,0.983371,0.982490,0.966811,0.564876
0.200,0.03500,88,30050,26,0.982800,0.982381,0.966315,0.545336
0.200,0.03500,88,29736,27,0.982859,0.981543,0.963823,0.538036
0.200,0.03500,88,30088,28,0.983328,0.983346,0.967938,0.571435
0.200,0.03500,88,30120,29,0.983537,0.981929,0.966740,0.569970
0.200,0.03500,88,30024,30,0.982891,0.981473,0.964744,0.543058
0.200,0.03500,88,29807,31,0.983937,0.984299,0.969144,0.559840
0.200,0.03500,88,29865,32,0.982478,0.983057,0.966131,0.572082
0.200,0.03500,88,30137,33,0.981266,0.982244,0.962167,0.565704
0.200,0.03500,88,29884,34,0.980763,0.983969,0.965915,0.541273
0.200,0.03500,88,30073,35,0.982609,0.982898,0.964965,0.548619
0.200,0.03500,88,29706,36,0.982965,0.981395,0.964417,0.560270
0.200,0.03500,88,30559,37,0.982034,0.981879,0.965725,0.541510
0.200,0.03500,88,29623,38,0.984000,0.981588,0.964053,0.526624
0.200,0.03500,88,30191,39,0.982758,0.983462,0.965322,0.554309
0.200,0.03500,88,29877,40,0.982665,0.982952,0.964759,0.534647
