# generator=validate_spinodal_cpu.jl  threads=6  K_TARGET=10000  N_EQ=8000  N_SAMP=2000  generated=2026-06-09T01:31:47.173
alpha,N,T,disorder,init,phi
0.200,100,0.3000,7,cold,0.857000
0.200,100,0.3000,8,cold,0.859276
0.200,100,0.3200,1,cold,0.854042
0.200,100,0.3200,2,cold,0.858271
0.200,100,0.3200,3,cold,0.848354
0.200,100,0.3200,4,cold,0.858085
0.200,100,0.3200,5,cold,0.849106
0.200,100,0.3200,6,cold,0.851477
0.200,100,0.3200,7,cold,0.855630
0.200,100,0.3200,8,cold,0.854824
0.200,100,0.3400,1,cold,0.840197
0.200,100,0.3400,2,cold,0.853867
0.200,100,0.3400,3,cold,0.853218
0.200,100,0.3400,4,cold,0.843253
0.200,100,0.3400,5,cold,0.839248
0.200,100,0.3400,6,cold,0.840026
0.200,100,0.3400,7,cold,0.852466
0.200,100,0.3400,8,cold,0.839949
0.200,100,0.3600,1,cold,0.825161
0.200,100,0.3600,2,cold,0.845156
0.200,100,0.3600,3,cold,0.826733
0.200,100,0.3600,4,cold,0.841008
0.200,100,0.3600,5,cold,0.849206
0.200,100,0.3600,6,cold,0.826850
0.200,100,0.3600,7,cold,0.822275
0.200,100,0.3600,8,cold,0.842151
0.200,100,0.3800,1,cold,0.826029
0.200,100,0.3800,2,cold,0.844807
0.200,100,0.3800,3,cold,0.852598
0.200,100,0.3800,4,cold,0.820800
0.200,100,0.3800,5,cold,0.826950
0.200,100,0.3800,6,cold,0.840210
0.200,100,0.3800,7,cold,0.810853
0.200,100,0.3800,8,cold,0.820015
0.200,100,0.4000,1,cold,0.828514
0.200,100,0.4000,2,cold,0.812445
0.200,100,0.4000,3,cold,0.804651
0.200,100,0.4000,4,cold,0.836041
0.200,100,0.4000,5,cold,0.821028
0.200,100,0.4000,6,cold,0.831774
0.200,100,0.4000,7,cold,0.826445
0.200,100,0.4000,8,cold,0.805557
0.200,100,0.4200,1,cold,0.817632
0.200,100,0.4200,2,cold,0.805365
0.200,100,0.4200,3,cold,0.798286
0.200,100,0.4200,4,cold,0.807103
0.200,100,0.4200,5,cold,0.803913
0.200,100,0.4200,6,cold,0.812548
0.200,100,0.4200,7,cold,0.832021
0.200,100,0.4200,8,cold,0.812265
0.200,100,0.4400,1,cold,0.788824
0.200,100,0.4400,2,cold,0.815188
0.200,100,0.4400,3,cold,0.798178
0.200,100,0.4400,4,cold,0.792791
0.200,100,0.4400,5,cold,0.808398
0.200,100,0.4400,6,cold,0.823290
0.200,100,0.4400,7,cold,0.819198
0.200,100,0.4400,8,cold,0.791751
0.200,100,0.4600,1,cold,0.794952
0.200,100,0.4600,2,cold,0.785379
0.200,100,0.4600,3,cold,0.784712
0.200,100,0.4600,4,cold,0.801534
0.200,100,0.4600,5,cold,0.788113
0.200,100,0.4600,6,cold,0.813940
0.200,100,0.4600,7,cold,0.791696
0.200,100,0.4600,8,cold,0.800500
0.200,100,0.4800,1,cold,0.795880
0.200,100,0.4800,2,cold,0.796951
0.200,100,0.4800,3,cold,0.783685
0.200,100,0.4800,4,cold,0.774899
0.200,100,0.4800,5,cold,0.804584
0.200,100,0.4800,6,cold,0.786494
0.200,100,0.4800,7,cold,0.795343
0.200,100,0.4800,8,cold,0.774391
0.200,100,0.5000,1,cold,0.786273
0.200,100,0.5000,2,cold,0.783443
0.200,100,0.5000,3,cold,0.778985
0.200,100,0.5000,4,cold,0.763501
0.200,100,0.5000,5,cold,0.779148
0.200,100,0.5000,6,cold,0.783292
0.200,100,0.5000,7,cold,0.770067
0.200,100,0.5000,8,cold,0.767909
0.200,1000,0.1000,1,cold,0.951173
0.200,1000,0.1000,2,cold,0.954405
0.200,1000,0.1000,3,cold,0.953709
0.200,1000,0.1000,4,cold,0.953684
0.200,1000,0.1000,5,cold,0.955463
0.200,1000,0.1000,6,cold,0.954027
0.200,1000,0.1000,7,cold,0.954173
0.200,1000,0.1000,8,cold,0.952847
0.200,1000,0.1200,1,cold,0.942713
0.200,1000,0.1200,2,cold,0.943015
0.200,1000,0.1200,3,cold,0.943549
0.200,1000,0.1200,4,cold,0.942383
0.200,1000,0.1200,5,cold,0.941060
0.200,1000,0.1200,6,cold,0.940026
0.200,1000,0.1200,7,cold,0.941310
0.200,1000,0.1200,8,cold,0.945815
0.200,1000,0.1400,1,cold,0.930860
0.200,1000,0.1400,2,cold,0.934417
0.200,1000,0.1400,3,cold,0.934839
0.200,1000,0.1400,4,cold,0.932360
0.200,1000,0.1400,5,cold,0.935733
0.200,1000,0.1400,6,cold,0.936132
0.200,1000,0.1400,7,cold,0.932266
0.200,1000,0.1400,8,cold,0.929281
0.200,1000,0.1600,1,cold,0.923600
0.200,1000,0.1600,2,cold,0.927017
0.200,1000,0.1600,3,cold,0.926832
0.200,1000,0.1600,4,cold,0.921511
0.200,1000,0.1600,5,cold,0.920664
0.200,1000,0.1600,6,cold,0.924524
0.200,1000,0.1600,7,cold,0.925977
0.200,1000,0.1600,8,cold,0.927402
0.200,1000,0.1800,1,cold,0.916610
0.200,1000,0.1800,2,cold,0.916558
0.200,1000,0.1800,3,cold,0.910241
0.200,1000,0.1800,4,cold,0.912928
0.200,1000,0.1800,5,cold,0.919815
0.200,1000,0.1800,6,cold,0.919129
0.200,1000,0.1800,7,cold,0.914418
0.200,1000,0.1800,8,cold,0.916371
0.200,1000,0.2000,1,cold,0.905546
0.200,1000,0.2000,2,cold,0.904018
0.200,1000,0.2000,3,cold,0.902851
0.200,1000,0.2000,4,cold,0.909051
0.200,1000,0.2000,5,cold,0.904868
0.200,1000,0.2000,6,cold,0.907575
0.200,1000,0.2000,7,cold,0.903368
0.200,1000,0.2000,8,cold,0.904848
0.200,1000,0.2200,1,cold,0.893276
0.200,1000,0.2200,2,cold,0.896247
0.200,1000,0.2200,3,cold,0.898649
0.200,1000,0.2200,4,cold,0.891560
0.200,1000,0.2200,5,cold,0.896437
0.200,1000,0.2200,6,cold,0.899341
0.200,1000,0.2200,7,cold,0.902102
0.200,1000,0.2200,8,cold,0.893759
0.200,1000,0.2400,1,cold,0.887594
0.200,1000,0.2400,2,cold,0.888489
0.200,1000,0.2400,3,cold,0.884644
0.200,1000,0.2400,4,cold,0.887439
0.200,1000,0.2400,5,cold,0.883547
0.200,1000,0.2400,6,cold,0.887416
0.200,1000,0.2400,7,cold,0.886430
0.200,1000,0.2400,8,cold,0.892958
0.200,1000,0.2600,1,cold,0.879229
0.200,1000,0.2600,2,cold,0.880347
0.200,1000,0.2600,3,cold,0.878852
0.200,1000,0.2600,4,cold,0.864944
0.200,1000,0.2600,5,cold,0.881753
0.200,1000,0.2600,6,cold,0.878316
0.200,1000,0.2600,7,cold,0.891243
0.200,1000,0.2600,8,cold,0.881604
0.200,1000,0.2800,1,cold,0.879985
0.200,1000,0.2800,2,cold,0.867158
0.200,1000,0.2800,3,cold,0.865543
0.200,1000,0.2800,4,cold,0.876683
0.200,1000,0.2800,5,cold,0.880281
0.200,1000,0.2800,6,cold,0.868788
0.200,1000,0.2800,7,cold,0.876745
0.200,1000,0.2800,8,cold,0.873937
0.200,1000,0.3000,1,cold,0.860443
0.200,1000,0.3000,2,cold,0.865356
0.200,1000,0.3000,3,cold,0.866374
