# generator=validate_spinodal_cpu.jl  threads=6  K_TARGET=10000  N_EQ=8000  N_SAMP=2000  generated=2026-06-08T22:39:28.004
alpha,N,T,disorder,init,phi
0.500,50,0.2200,2,cold,-0.095144
0.500,50,0.2200,3,cold,0.044205
0.500,50,0.2200,4,cold,0.001439
0.500,50,0.2300,1,cold,0.047116
0.500,50,0.2300,2,cold,-0.091955
0.500,50,0.2300,3,cold,0.005435
0.500,50,0.2300,4,cold,-0.039588
0.500,50,0.2400,1,cold,-0.000574
0.500,50,0.2400,2,cold,0.160752
0.500,50,0.2400,3,cold,-0.075161
0.500,50,0.2400,4,cold,-0.131979
0.500,50,0.2500,1,cold,-0.058970
0.500,50,0.2500,2,cold,-0.064794
0.500,50,0.2500,3,cold,0.038909
0.500,50,0.2500,4,cold,0.075383
0.550,50,0.0300,1,cold,0.981461
0.550,50,0.0300,2,cold,0.985675
0.550,50,0.0300,3,cold,0.984391
0.550,50,0.0300,4,cold,0.983715
0.550,50,0.0400,1,cold,0.978451
0.550,50,0.0400,2,cold,0.982889
0.550,50,0.0400,3,cold,0.978694
0.550,50,0.0400,4,cold,0.979333
0.550,50,0.0500,1,cold,0.973218
0.550,50,0.0500,2,cold,0.975628
0.550,50,0.0500,3,cold,0.975845
0.550,50,0.0500,4,cold,0.978134
0.550,50,0.0600,1,cold,0.960748
0.550,50,0.0600,2,cold,0.966267
0.550,50,0.0600,3,cold,0.968608
0.550,50,0.0600,4,cold,0.962423
0.550,50,0.0700,1,cold,0.959004
0.550,50,0.0700,2,cold,0.959315
0.550,50,0.0700,3,cold,0.960229
0.550,50,0.0700,4,cold,0.939584
0.550,50,0.0800,1,cold,0.953833
0.550,50,0.0800,2,cold,0.954452
0.550,50,0.0800,3,cold,0.320393
0.550,50,0.0800,4,cold,0.358268
0.550,50,0.0900,1,cold,0.302235
0.550,50,0.0900,2,cold,-0.153299
0.550,50,0.0900,3,cold,0.067722
0.550,50,0.0900,4,cold,0.089677
0.550,50,0.1000,1,cold,0.197535
0.550,50,0.1000,2,cold,0.153798
0.550,50,0.1000,3,cold,0.095480
0.550,50,0.1000,4,cold,0.143947
0.550,50,0.1100,1,cold,-0.113125
0.550,50,0.1100,2,cold,-0.009940
0.550,50,0.1100,3,cold,-0.038213
0.550,50,0.1100,4,cold,-0.009958
0.550,50,0.1200,1,cold,-0.370841
0.550,50,0.1200,2,cold,-0.006477
0.550,50,0.1200,3,cold,-0.061955
0.550,50,0.1200,4,cold,0.015466
0.550,50,0.1300,1,cold,0.174490
0.550,50,0.1300,2,cold,-0.097958
0.550,50,0.1300,3,cold,-0.101343
0.550,50,0.1300,4,cold,-0.140154
0.550,50,0.1400,1,cold,-0.147233
0.550,50,0.1400,2,cold,-0.016146
0.550,50,0.1400,3,cold,0.067091
0.550,50,0.1400,4,cold,0.123256
0.550,50,0.1500,1,cold,-0.156988
0.550,50,0.1500,2,cold,0.024870
0.550,50,0.1500,3,cold,-0.081274
0.550,50,0.1500,4,cold,-0.069762
0.550,50,0.1600,1,cold,-0.036110
0.550,50,0.1600,2,cold,-0.085962
0.550,50,0.1600,3,cold,0.045623
0.550,50,0.1600,4,cold,0.173613
0.550,50,0.1700,1,cold,-0.043533
0.550,50,0.1700,2,cold,0.151958
0.550,50,0.1700,3,cold,0.050322
0.550,50,0.1700,4,cold,-0.044572
0.550,50,0.1800,1,cold,-0.051337
0.550,50,0.1800,2,cold,0.028711
0.550,50,0.1800,3,cold,-0.028807
0.550,50,0.1800,4,cold,-0.030630
