# generator=basin_stab_LSE_semismart_AAAI_Nramp.jl  M_TARGET=4.4e+06  K_TARGET=30000  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=64  MEM_BUDGET_GB=40.0  generated=2026-06-07T21:59:16.649
alpha,T,N_used,K_retained,disorder,phi_a,phi_b,q12,phi_max_retained
0.200,0.02500,76,30124,19,0.988485,0.987831,0.976394,0.555046
0.200,0.02500,76,30376,20,0.986132,0.988921,0.975555,0.538245
0.200,0.02500,76,29896,21,0.987938,0.987426,0.975764,0.523792
0.200,0.02500,76,30242,22,0.988080,0.988249,0.977449,0.548054
0.200,0.02500,76,30163,23,0.985687,0.986847,0.970151,0.559327
0.200,0.02500,76,30113,24,0.987711,0.986846,0.975206,0.546075
0.200,0.02500,76,30096,25,0.986629,0.987882,0.972189,0.537073
0.200,0.02500,76,29949,26,0.989396,0.987325,0.975553,0.526996
0.200,0.02500,76,30300,27,0.987903,0.987718,0.976325,0.555248
0.200,0.02500,76,29935,28,0.989394,0.988895,0.977846,0.530638
0.200,0.02500,76,29790,29,0.987986,0.986685,0.976174,0.525244
0.200,0.02500,76,30303,30,0.986905,0.987174,0.976301,0.564433
0.200,0.02500,76,30009,31,0.987890,0.988278,0.977347,0.569344
0.200,0.02500,76,29919,32,0.988590,0.988782,0.978272,0.550538
0.200,0.02500,76,30029,33,0.988166,0.987145,0.976893,0.546156
0.200,0.02500,76,29958,34,0.987628,0.987648,0.974328,0.547430
0.200,0.02500,76,30055,35,0.986979,0.987262,0.974309,0.534452
0.200,0.02500,76,30257,36,0.986836,0.986963,0.974042,0.553304
0.200,0.02500,76,30180,37,0.987739,0.988318,0.975258,0.525661
0.200,0.02500,76,30044,38,0.987877,0.987593,0.974713,0.579347
0.200,0.02500,76,30141,39,0.987570,0.987272,0.975469,0.522273
0.200,0.02500,76,29922,40,0.988052,0.987074,0.973721,0.557227
0.200,0.02500,76,30277,41,0.987033,0.987609,0.973441,0.545928
0.200,0.02500,76,30253,42,0.987368,0.988145,0.975621,0.566871
0.200,0.02500,76,30137,43,0.988132,0.987100,0.974719,0.532480
0.200,0.02500,76,30107,44,0.987378,0.988122,0.974736,0.533587
0.200,0.02500,76,29828,45,0.987827,0.988065,0.973894,0.561735
0.200,0.02500,76,30162,46,0.988414,0.987951,0.976765,0.535331
0.200,0.02500,76,29769,47,0.987751,0.989191,0.974837,0.532375
0.200,0.02500,76,29734,48,0.988737,0.987270,0.976867,0.562224
0.200,0.02500,76,30091,49,0.988579,0.988264,0.975391,0.531289
0.200,0.02500,76,30084,50,0.987929,0.987600,0.973516,0.519174
0.200,0.02500,76,30050,51,0.986994,0.987947,0.974596,0.588629
0.200,0.02500,76,30113,52,0.987688,0.988244,0.974792,0.514553
0.200,0.02500,76,29800,53,0.988232,0.987997,0.976499,0.533227
0.200,0.02500,76,30126,54,0.989119,0.986213,0.975966,0.535288
0.200,0.02500,76,29754,55,0.988881,0.987465,0.975937,0.537376
0.200,0.02500,76,30112,56,0.987660,0.988755,0.976344,0.519669
0.200,0.02500,76,29978,57,0.988360,0.988272,0.976588,0.541128
0.200,0.02500,76,30187,58,0.988930,0.988643,0.978231,0.532977
0.200,0.02500,76,29846,59,0.989087,0.987054,0.977466,0.541097
0.200,0.02500,76,30240,60,0.988353,0.986697,0.975830,0.529091
0.200,0.02500,76,30253,61,0.987653,0.987984,0.977181,0.534942
0.200,0.02500,76,29877,62,0.988212,0.989421,0.979899,0.542434
0.200,0.02500,76,30188,63,0.986978,0.986892,0.975126,0.524525
0.200,0.02500,76,30097,64,0.989235,0.986709,0.976497,0.538213
0.200,0.03500,76,29677,1,0.982837,0.983376,0.965554,0.550944
0.200,0.03500,76,30086,2,0.982195,0.983713,0.965964,0.548356
0.200,0.03500,76,30078,3,0.983650,0.981665,0.966669,0.545831
0.200,0.03500,76,30299,4,0.983512,0.984109,0.967979,0.529439
0.200,0.03500,76,29933,5,0.982626,0.983271,0.966920,0.557128
0.200,0.03500,76,30052,6,0.984373,0.982943,0.969902,0.532762
0.200,0.03500,76,29909,7,0.983432,0.983186,0.964387,0.539627
0.200,0.03500,76,29831,8,0.981003,0.983985,0.966313,0.539123
0.200,0.03500,76,30326,9,0.981612,0.982958,0.965379,0.577949
0.200,0.03500,76,29838,10,0.981297,0.982770,0.965877,0.535464
0.200,0.03500,76,30099,11,0.982653,0.982388,0.967463,0.529293
