# generator=escape_time_Ndim.jl  N=100  N_DIS=32  MAX_STEPS=1000000  φ_escape=0.5  generated=2026-06-11T16:14:47.416
alpha,T,disorder,K,tau,escaped
0.500,0.09000,23,1,1000000,0
0.580,0.03500,7,1,1000000,0
0.500,0.10000,28,1,1000000,0
0.500,0.10000,12,1,1000000,0
0.600,0.00500,17,1,1000000,0
0.550,0.04000,1,1,1000000,0
0.500,0.09250,23,1,1000000,0
0.580,0.03750,7,1,1000000,0
0.550,0.02500,28,1,1000000,0
0.580,0.04000,7,1,177366,1
0.550,0.02500,12,1,1000000,0
0.600,0.00750,17,1,1000000,0
0.550,0.04250,1,1,1000000,0
0.500,0.09500,23,1,1000000,0
0.550,0.02750,28,1,1000000,0
0.500,0.06000,7,1,1000000,0
0.550,0.02750,12,1,1000000,0
0.600,0.01000,17,1,1000000,0
0.550,0.04500,1,1,1000000,0
0.500,0.09750,23,1,1000000,0
0.550,0.03000,28,1,1000000,0
0.500,0.06250,7,1,1000000,0
0.550,0.03000,12,1,1000000,0
0.600,0.01250,17,1,1000000,0
0.550,0.04750,1,1,1000000,0
0.500,0.10000,23,1,1000000,0
0.550,0.03250,28,1,1000000,0
0.500,0.06500,7,1,1000000,0
0.550,0.03250,12,1,1000000,0
0.600,0.01500,17,1,1000000,0
0.550,0.05000,1,1,1000000,0
0.550,0.02500,23,1,1000000,0
0.550,0.03500,28,1,1000000,0
0.500,0.06750,7,1,1000000,0
0.550,0.03500,12,1,1000000,0
0.600,0.01750,17,1,1000000,0
0.550,0.05250,1,1,1000000,0
0.550,0.02750,23,1,1000000,0
0.550,0.03750,28,1,1000000,0
0.500,0.07000,7,1,1000000,0
0.550,0.03750,12,1,1000000,0
0.600,0.02000,17,1,1000000,0
0.550,0.05500,1,1,1000000,0
0.600,0.02250,17,1,42898,1
0.600,0.02500,17,1,2032,1
0.600,0.02750,17,1,3371,1
0.600,0.03000,17,1,1954,1
0.600,0.03250,17,1,1131,1
0.600,0.03500,17,1,1085,1
0.550,0.03000,23,1,1000000,0
0.550,0.04000,28,1,1000000,0
0.500,0.07250,7,1,1000000,0
0.550,0.04000,12,1,1000000,0
0.580,0.01000,18,1,1000000,0
0.550,0.05750,1,1,1000000,0
0.550,0.03250,23,1,1000000,0
0.500,0.07500,7,1,1000000,0
0.550,0.04250,28,1,1000000,0
0.550,0.04250,12,1,1000000,0
0.550,0.06000,1,1,1000000,0
0.580,0.01250,18,1,1000000,0
0.550,0.03500,23,1,1000000,0
0.550,0.04500,28,1,1000000,0
0.500,0.07750,7,1,1000000,0
0.550,0.04500,12,1,1000000,0
0.620,0.00250,1,1,1000000,0
0.580,0.01500,18,1,1000000,0
0.550,0.03750,23,1,1000000,0
0.550,0.04750,28,1,1000000,0
0.500,0.08000,7,1,1000000,0
0.550,0.04750,12,1,1000000,0
0.620,0.00500,1,1,1000000,0
0.580,0.01750,18,1,1000000,0
0.550,0.04000,23,1,1000000,0
0.550,0.05000,28,1,1000000,0
0.500,0.08250,7,1,1000000,0
0.550,0.05000,12,1,1000000,0
0.620,0.00750,1,1,1000000,0
0.580,0.02000,18,1,1000000,0
0.620,0.01000,1,1,17025,1
0.620,0.01250,1,1,3675,1
0.620,0.01500,1,1,2680,1
0.620,0.01750,1,1,2357,1
0.620,0.02000,1,1,1799,1
0.550,0.04250,23,1,1000000,0
0.500,0.08500,7,1,1000000,0
0.550,0.05250,28,1,1000000,0
0.550,0.05250,12,1,1000000,0
0.600,0.00500,1,1,1000000,0
0.580,0.02250,18,1,1000000,0
0.550,0.04500,23,1,1000000,0
0.550,0.05500,28,1,1000000,0
0.500,0.08750,7,1,1000000,0
0.550,0.05500,12,1,1000000,0
0.600,0.00750,1,1,1000000,0
0.580,0.02500,18,1,1000000,0
0.550,0.04750,23,1,1000000,0
0.500,0.09000,7,1,1000000,0
0.550,0.05750,28,1,1000000,0
0.550,0.05750,12,1,1000000,0
0.600,0.01000,1,1,1000000,0
0.580,0.02750,18,1,1000000,0
0.550,0.05000,23,1,1000000,0
0.500,0.09250,7,1,1000000,0
0.550,0.06000,28,1,1000000,0
0.550,0.06000,12,1,1000000,0
0.600,0.01250,1,1,1000000,0
0.580,0.03000,18,1,1000000,0
0.550,0.05250,23,1,1000000,0
0.500,0.09500,7,1,1000000,0
0.620,0.00250,28,1,1000000,0
0.620,0.00250,12,1,1000000,0
0.600,0.01500,1,1,1000000,0
0.550,0.05500,23,1,1000000,0
0.580,0.03250,18,1,1000000,0
0.500,0.09750,7,1,1000000,0
0.620,0.00500,28,1,1000000,0
0.620,0.00500,12,1,1000000,0
