# generator=hybrid_1d_LSE.jl  N=150  N_DIS=32  N_EQ=4000  N_SAMP=16000  σ_floor=0.01  generated=2026-06-10T23:43:22.978
alpha,T,disorder,K,phi_mean,phi_var,acc_rate
0.500,0.05750,1,1152014,0.970502,0.000011,0.1077
0.500,0.06250,1,1152014,0.968006,0.000012,0.1091
0.520,0.04750,7,1579418,0.974794,0.000009,0.1043
0.540,0.03750,13,2040253,0.979979,0.000006,0.0888
0.580,0.02750,23,2847535,0.985547,0.000003,0.0761
0.560,0.03250,18,2483195,0.983229,0.000004,0.0847
0.500,0.06750,1,1152014,0.965094,0.000017,0.1163
0.600,0.02750,28,3076462,0.985776,0.000003,0.0770
0.520,0.05250,7,1579418,0.972201,0.000010,0.1072
0.540,0.04250,13,2040253,0.977171,0.000007,0.0964
0.500,0.07250,1,1152014,0.962819,0.000019,0.1238
0.560,0.03750,18,2483195,0.980726,0.000005,0.0881
0.580,0.03250,23,2847535,0.982892,0.000004,0.0833
0.520,0.05750,7,1579418,0.969597,0.000012,0.1113
0.500,0.07750,1,1152014,0.960231,0.000020,0.1226
0.540,0.04750,13,2040253,0.974684,0.000009,0.1027
0.600,0.03250,28,3076462,0.983103,0.000004,0.0836
0.500,0.08250,1,1152014,0.957436,0.000025,0.1331
0.520,0.06250,7,1579418,0.966870,0.000015,0.1159
0.560,0.04250,18,2483195,0.978000,0.000006,0.0921
0.580,0.03750,23,2847535,0.980287,0.000005,0.0912
0.500,0.08750,1,1152014,0.954738,0.000027,0.1356
0.540,0.05250,13,2040253,0.971911,0.000010,0.1124
0.520,0.06750,7,1579418,0.964335,0.000017,0.1266
0.600,0.03750,28,3076462,0.980387,0.000005,0.0896
0.500,0.09250,1,1152014,0.952492,0.000029,0.1404
0.560,0.04750,18,2483195,0.975294,0.000009,0.1005
0.540,0.05750,13,2040253,0.969333,0.000011,0.1105
0.520,0.07250,7,1579418,0.961365,0.000019,0.1245
0.500,0.09750,1,1152014,0.949832,0.000034,0.1434
0.580,0.04250,23,2847535,0.977777,0.000006,0.0974
0.500,0.00250,2,1152014,0.998701,0.000000,0.0184
0.520,0.07750,7,1579418,0.959058,0.000023,0.1316
0.600,0.04250,28,3076462,0.978053,0.000006,0.0971
0.500,0.00750,2,1152014,0.996132,0.000000,0.0440
0.560,0.05250,18,2483195,0.972840,0.000009,0.1063
0.540,0.06250,13,2040253,0.966553,0.000015,0.1234
0.500,0.01250,2,1152014,0.993525,0.000001,0.0524
0.580,0.04750,23,2847535,0.975017,0.000009,0.1016
0.520,0.08250,7,1579418,0.956113,0.000028,0.1417
0.500,0.01750,2,1152014,0.990923,0.000001,0.0616
0.540,0.06750,13,2040253,0.963837,0.000019,0.1258
0.560,0.05750,18,2483195,0.970198,0.000012,0.1104
0.500,0.02250,2,1152014,0.988344,0.000002,0.0736
0.600,0.04750,28,3076462,0.975277,0.000008,0.1012
0.520,0.08750,7,1579418,0.953520,0.000030,0.1397
0.500,0.02750,2,1152014,0.985810,0.000003,0.0788
0.580,0.05250,23,2847535,0.972364,0.000011,0.1049
0.540,0.07250,13,2040253,0.961043,0.000021,0.1245
0.520,0.09250,7,1579418,0.950789,0.000032,0.1418
0.500,0.03250,2,1152014,0.983405,0.000004,0.0833
0.560,0.06250,18,2483195,0.967534,0.000014,0.1182
0.600,0.05250,28,3076462,0.972794,0.000011,0.1051
0.500,0.03750,2,1152014,0.980600,0.000005,0.0915
0.540,0.07750,13,2040253,0.958492,0.000023,0.1305
0.520,0.09750,7,1579418,0.948119,0.000035,0.1442
0.580,0.05750,23,2847535,0.969926,0.000012,0.1120
0.500,0.04250,2,1152014,0.978020,0.000007,0.0914
0.520,0.00250,8,1579418,0.998654,0.000000,0.0192
0.560,0.06750,18,2483195,0.964754,0.000015,0.1223
0.500,0.04750,2,1152014,0.975354,0.000008,0.1007
0.540,0.08250,13,2040253,0.955974,0.000024,0.1370
0.520,0.00750,8,1579418,0.996068,0.000000,0.0383
0.600,0.05750,28,3076462,0.969901,0.000012,0.1097
0.500,0.05250,2,1152014,0.972941,0.000010,0.1045
0.580,0.06250,23,2847535,0.967167,0.000014,0.1135
0.520,0.01250,8,1579418,0.993460,0.000001,0.0536
0.560,0.07250,18,2483195,0.962506,0.000019,0.1283
0.500,0.05750,2,1152014,0.970374,0.000013,0.1100
0.540,0.08750,13,2040253,0.953179,0.000028,0.1368
0.520,0.01750,8,1579418,0.990778,0.000001,0.0625
0.500,0.06250,2,1152014,0.967645,0.000013,0.1143
0.600,0.06250,28,3076462,0.967569,0.000013,0.1134
0.500,0.06750,2,1152014,0.965322,0.000017,0.1192
0.520,0.02250,8,1579418,0.988099,0.000002,0.0692
0.580,0.06750,23,2847535,0.964465,0.000016,0.1213
0.560,0.07750,18,2483195,0.959500,0.000023,0.1280
0.540,0.09250,13,2040253,0.950500,0.000035,0.1489
0.500,0.07250,2,1152014,0.962594,0.000020,0.1236
0.520,0.02750,8,1579418,0.985561,0.000003,0.0788
0.600,0.06750,28,3076462,0.964777,0.000016,0.1195
0.500,0.07750,2,1152014,0.960132,0.000023,0.1308
0.540,0.09750,13,2040253,0.948109,0.000037,0.1495
0.560,0.08250,18,2483195,0.957062,0.000025,0.1371
0.520,0.03250,8,1579418,0.982776,0.000003,0.0828
0.580,0.07250,23,2847535,0.961883,0.000020,0.1275
0.500,0.08250,2,1152014,0.957308,0.000026,0.1321
0.540,0.00250,14,2040253,0.998674,0.000000,0.0191
0.520,0.03750,8,1579418,0.980250,0.000005,0.0884
0.500,0.08750,2,1152014,0.954675,0.000027,0.1346
0.560,0.08750,18,2483195,0.954592,0.000028,0.1424
0.540,0.00750,14,2040253,0.996030,0.000000,0.0432
0.600,0.07250,28,3076462,0.961986,0.000018,0.1206
0.520,0.04250,8,1579418,0.977638,0.000007,0.0972
0.500,0.09250,2,1152014,0.952180,0.000032,0.1337
0.580,0.07750,23,2847535,0.959003,0.000024,0.1338
0.540,0.01250,14,2040253,0.993341,0.000001,0.0522
0.500,0.09750,2,1152014,0.949693,0.000036,0.1449
0.520,0.04750,8,1579418,0.974863,0.000009,0.1029
0.560,0.09250,18,2483195,0.952126,0.000032,0.1358
0.500,0.00250,3,1152014,0.998714,0.000000,0.0187
0.600,0.07750,28,3076462,0.959734,0.000022,0.1306
0.540,0.01750,14,2040253,0.990654,0.000001,0.0619
0.500,0.00750,3,1152014,0.996118,0.000000,0.0408
0.520,0.05250,8,1579418,0.972347,0.000010,0.1016
0.580,0.08250,23,2847535,0.956319,0.000027,0.1318
0.500,0.01250,3,1152014,0.993520,0.000001,0.0522
0.520,0.05750,8,1579418,0.969709,0.000014,0.1112
0.540,0.02250,14,2040253,0.988070,0.000002,0.0741
0.560,0.09750,18,2483195,0.949014,0.000036,0.1458
0.500,0.01750,3,1152014,0.990892,0.000001,0.0605
0.500,0.02250,3,1152014,0.988445,0.000002,0.0711
0.600,0.08250,28,3076462,0.956861,0.000025,0.1356
0.520,0.06250,8,1579418,0.966928,0.000015,0.1144
0.580,0.08750,23,2847535,0.953782,0.000029,0.1374
0.560,0.00250,19,2483195,0.998674,0.000000,0.0182
0.540,0.02750,14,2040253,0.985519,0.000003,0.0780
0.500,0.02750,3,1152014,0.985695,0.000002,0.0747
0.520,0.06750,8,1579418,0.964435,0.000017,0.1206
0.500,0.03250,3,1152014,0.983159,0.000004,0.0824
0.560,0.00750,19,2483195,0.996042,0.000000,0.0395
0.540,0.03250,14,2040253,0.982686,0.000004,0.0836
0.500,0.03750,3,1152014,0.980674,0.000005,0.0874
0.600,0.08750,28,3076462,0.954263,0.000029,0.1388
0.580,0.09250,23,2847535,0.951243,0.000033,0.1436
0.520,0.07250,8,1579418,0.961590,0.000020,0.1310
0.500,0.04250,3,1152014,0.978053,0.000006,0.0896
0.560,0.01250,19,2483195,0.993394,0.000001,0.0517
0.540,0.03750,14,2040253,0.980042,0.000005,0.0874
0.520,0.07750,8,1579418,0.959027,0.000024,0.1336
0.500,0.04750,3,1152014,0.975384,0.000008,0.0987
0.540,0.04250,14,2040253,0.977386,0.000007,0.0988
0.560,0.01750,19,2483195,0.990747,0.000001,0.0658
0.500,0.05250,3,1152014,0.972780,0.000011,0.1079
0.580,0.09750,23,2847535,0.948366,0.000034,0.1469
0.600,0.09250,28,3076462,0.951749,0.000032,0.1427
0.520,0.08250,8,1579418,0.956470,0.000028,0.1386
0.500,0.05750,3,1152014,0.970336,0.000012,0.1127
0.540,0.04750,14,2040253,0.974865,0.000008,0.1038
0.580,0.00250,24,2847535,0.998687,0.000000,0.0192
0.560,0.02250,19,2483195,0.988048,0.000002,0.0706
0.520,0.08750,8,1579418,0.953516,0.000030,0.1384
0.500,0.06250,3,1152014,0.967850,0.000014,0.1176
0.500,0.06750,3,1152014,0.965300,0.000015,0.1169
0.600,0.09750,28,3076462,0.949087,0.000037,0.1446
0.520,0.09250,8,1579418,0.951114,0.000031,0.1366
0.540,0.05250,14,2040253,0.971893,0.000011,0.1055
0.580,0.00750,24,2847535,0.996101,0.000000,0.0409
0.560,0.02750,19,2483195,0.985465,0.000003,0.0770
0.500,0.07250,3,1152014,0.962833,0.000020,0.1234
0.520,0.09750,8,1579418,0.948671,0.000036,0.1454
0.600,0.00250,29,3076462,0.998727,0.000000,0.0170
0.500,0.07750,3,1152014,0.959966,0.000021,0.1273
0.540,0.05750,14,2040253,0.969532,0.000013,0.1070
0.580,0.01250,24,2847535,0.993474,0.000001,0.0519
0.560,0.03250,19,2483195,0.982829,0.000004,0.0868
0.520,0.00250,9,1579418,0.998666,0.000000,0.0204
0.500,0.08250,3,1152014,0.957247,0.000024,0.1344
0.520,0.00750,9,1579418,0.995933,0.000000,0.0432
0.600,0.00750,29,3076462,0.996161,0.000000,0.0392
0.540,0.06250,14,2040253,0.966843,0.000014,0.1164
0.500,0.08750,3,1152014,0.954734,0.000030,0.1368
0.580,0.01750,24,2847535,0.990813,0.000001,0.0599
0.560,0.03750,19,2483195,0.980177,0.000005,0.0910
0.520,0.01250,9,1579418,0.993261,0.000001,0.0550
0.500,0.09250,3,1152014,0.952319,0.000031,0.1394
0.540,0.06750,14,2040253,0.964079,0.000018,0.1215
0.600,0.01250,29,3076462,0.993663,0.000001,0.0519
0.520,0.01750,9,1579418,0.990533,0.000001,0.0649
0.500,0.09750,3,1152014,0.949701,0.000035,0.1433
0.560,0.04250,19,2483195,0.977633,0.000006,0.0943
0.580,0.02250,24,2847535,0.988242,0.000002,0.0691
0.500,0.00250,4,1152014,0.998729,0.000000,0.0170
0.520,0.02250,9,1579418,0.987871,0.000002,0.0735
0.540,0.07250,14,2040253,0.961375,0.000021,0.1278
0.500,0.00750,4,1152014,0.996251,0.000000,0.0395
0.600,0.01750,29,3076462,0.991031,0.000001,0.0592
0.520,0.02750,9,1579418,0.985068,0.000003,0.0801
0.500,0.01250,4,1152014,0.993810,0.000001,0.0513
0.560,0.04750,19,2483195,0.974771,0.000009,0.1061
0.580,0.02750,24,2847535,0.985644,0.000003,0.0797
0.500,0.01750,4,1152014,0.991306,0.000001,0.0616
0.540,0.07750,14,2040253,0.958697,0.000023,0.1293
0.520,0.03250,9,1579418,0.982313,0.000005,0.0884
0.500,0.02250,4,1152014,0.988817,0.000002,0.0665
0.600,0.02250,29,3076462,0.988394,0.000002,0.0657
0.520,0.03750,9,1579418,0.979675,0.000006,0.0894
0.560,0.05250,19,2483195,0.971956,0.000011,0.1092
0.500,0.02750,4,1152014,0.986368,0.000002,0.0704
0.540,0.08250,14,2040253,0.956436,0.000025,0.1348
0.580,0.03250,24,2847535,0.983018,0.000004,0.0869
0.500,0.03250,4,1152014,0.983948,0.000003,0.0809
0.520,0.04250,9,1579418,0.977110,0.000006,0.0973
0.600,0.02750,29,3076462,0.985981,0.000003,0.0770
0.500,0.03750,4,1152014,0.981509,0.000005,0.0806
0.560,0.05750,19,2483195,0.969576,0.000012,0.1106
0.540,0.08750,14,2040253,0.953174,0.000031,0.1382
0.580,0.03750,24,2847535,0.980245,0.000005,0.0903
0.520,0.04750,9,1579418,0.974409,0.000009,0.1084
0.500,0.04250,4,1152014,0.979189,0.000006,0.0890
0.500,0.04750,4,1152014,0.976530,0.000008,0.0940
0.520,0.05250,9,1579418,0.971741,0.000012,0.1084
0.540,0.09250,14,2040253,0.950616,0.000035,0.1434
0.600,0.03250,29,3076462,0.983300,0.000004,0.0824
0.560,0.06250,19,2483195,0.966978,0.000015,0.1186
0.500,0.05250,4,1152014,0.974029,0.000009,0.0992
0.580,0.04250,24,2847535,0.977807,0.000006,0.0958
0.520,0.05750,9,1579418,0.968925,0.000012,0.1124
0.500,0.05750,4,1152014,0.971656,0.000011,0.1025
0.540,0.09750,14,2040253,0.947903,0.000036,0.1502
0.560,0.06750,19,2483195,0.964126,0.000018,0.1241
0.500,0.06250,4,1152014,0.969338,0.000012,0.1061
0.520,0.06250,9,1579418,0.966199,0.000015,0.1206
0.600,0.03750,29,3076462,0.980749,0.000005,0.0907
0.540,0.00250,15,2040253,0.998662,0.000000,0.0186
0.580,0.04750,24,2847535,0.975088,0.000008,0.1022
0.500,0.06750,4,1152014,0.967129,0.000014,0.1140
0.520,0.06750,9,1579418,0.963194,0.000019,0.1236
0.540,0.00750,15,2040253,0.995986,0.000000,0.0427
0.560,0.07250,19,2483195,0.961676,0.000020,0.1273
0.500,0.07250,4,1152014,0.964588,0.000016,0.1183
0.600,0.04250,29,3076462,0.978305,0.000007,0.0970
0.520,0.07250,9,1579418,0.960727,0.000020,0.1308
0.580,0.05250,24,2847535,0.972403,0.000009,0.1035
0.500,0.07750,4,1152014,0.962024,0.000019,0.1176
0.540,0.01250,15,2040253,0.993255,0.000001,0.0548
0.500,0.08250,4,1152014,0.959517,0.000021,0.1235
0.560,0.07750,19,2483195,0.958809,0.000021,0.1280
0.520,0.07750,9,1579418,0.958019,0.000023,0.1351
0.540,0.01750,15,2040253,0.990556,0.000001,0.0636
0.600,0.04750,29,3076462,0.975559,0.000008,0.1043
0.500,0.08750,4,1152014,0.957357,0.000024,0.1278
0.580,0.05750,24,2847535,0.969730,0.000012,0.1129
0.520,0.08250,9,1579418,0.955467,0.000027,0.1384
0.500,0.09250,4,1152014,0.954944,0.000025,0.1248
0.540,0.02250,15,2040253,0.987831,0.000002,0.0694
0.560,0.08250,19,2483195,0.956142,0.000027,0.1411
0.500,0.09750,4,1152014,0.952610,0.000029,0.1293
0.520,0.08750,9,1579418,0.952667,0.000033,0.1459
0.600,0.05250,29,3076462,0.973169,0.000010,0.1021
0.540,0.02750,15,2040253,0.985145,0.000003,0.0796
0.500,0.00250,5,1152014,0.998704,0.000000,0.0175
0.580,0.06250,24,2847535,0.967102,0.000015,0.1142
0.500,0.00750,5,1152014,0.996190,0.000000,0.0394
0.520,0.09250,9,1579418,0.950065,0.000035,0.1464
0.560,0.08750,19,2483195,0.953672,0.000029,0.1349
0.540,0.03250,15,2040253,0.982550,0.000004,0.0862
0.500,0.01250,5,1152014,0.993626,0.000000,0.0491
0.520,0.09750,9,1579418,0.947086,0.000036,0.1480
0.500,0.01750,5,1152014,0.991060,0.000001,0.0588
0.600,0.05750,29,3076462,0.970558,0.000012,0.1056
0.580,0.06750,24,2847535,0.964467,0.000017,0.1187
0.540,0.03750,15,2040253,0.979805,0.000006,0.0911
0.520,0.00250,10,1579418,0.998680,0.000000,0.0195
0.500,0.02250,5,1152014,0.988478,0.000002,0.0659
0.560,0.09250,19,2483195,0.950948,0.000036,0.1421
0.500,0.02750,5,1152014,0.985884,0.000003,0.0775
0.520,0.00750,10,1579418,0.996066,0.000000,0.0398
0.540,0.04250,15,2040253,0.977141,0.000007,0.0959
0.500,0.03250,5,1152014,0.983572,0.000004,0.0827
0.600,0.06250,29,3076462,0.967897,0.000014,0.1168
0.580,0.07250,24,2847535,0.962014,0.000020,0.1246
0.520,0.01250,10,1579418,0.993434,0.000001,0.0488
0.560,0.09750,19,2483195,0.948067,0.000040,0.1536
0.500,0.03750,5,1152014,0.980819,0.000005,0.0877
0.520,0.01750,10,1579418,0.990847,0.000001,0.0624
0.540,0.04750,15,2040253,0.974372,0.000009,0.1039
0.500,0.04250,5,1152014,0.978328,0.000006,0.0916
0.560,0.00250,20,2483195,0.998661,0.000000,0.0184
0.520,0.02250,10,1579418,0.988120,0.000002,0.0733
0.580,0.07750,24,2847535,0.959393,0.000021,0.1319
0.600,0.06750,29,3076462,0.965172,0.000016,0.1162
0.500,0.04750,5,1152014,0.975715,0.000008,0.0977
0.540,0.05250,15,2040253,0.971749,0.000011,0.1095
0.560,0.00750,20,2483195,0.996015,0.000000,0.0399
0.500,0.05250,5,1152014,0.973268,0.000010,0.1021
0.520,0.02750,10,1579418,0.985566,0.000003,0.0790
0.500,0.05750,5,1152014,0.970720,0.000012,0.1087
0.540,0.05750,15,2040253,0.969156,0.000011,0.1092
0.520,0.03250,10,1579418,0.982995,0.000004,0.0880
0.580,0.08250,24,2847535,0.956309,0.000026,0.1319
0.560,0.01250,20,2483195,0.993341,0.000001,0.0517
0.600,0.07250,29,3076462,0.962588,0.000021,0.1239
0.500,0.06250,5,1152014,0.968060,0.000013,0.1084
0.520,0.03750,10,1579418,0.980255,0.000005,0.0902
0.500,0.06750,5,1152014,0.965490,0.000016,0.1166
0.540,0.06250,15,2040253,0.966418,0.000016,0.1194
0.560,0.01750,20,2483195,0.990824,0.000001,0.0609
0.520,0.04250,10,1579418,0.977625,0.000007,0.0936
0.500,0.07250,5,1152014,0.963150,0.000018,0.1258
0.580,0.08750,24,2847535,0.953804,0.000028,0.1356
0.600,0.07750,29,3076462,0.960164,0.000021,0.1293
0.540,0.06750,15,2040253,0.963567,0.000017,0.1287
0.500,0.07750,5,1152014,0.960567,0.000021,0.1242
0.560,0.02250,20,2483195,0.987985,0.000002,0.0706
0.520,0.04750,10,1579418,0.975003,0.000009,0.1038
0.500,0.08250,5,1152014,0.958147,0.000024,0.1320
0.520,0.05250,10,1579418,0.972437,0.000010,0.1064
0.540,0.07250,15,2040253,0.961152,0.000021,0.1293
0.580,0.09250,24,2847535,0.950854,0.000032,0.1442
0.560,0.02750,20,2483195,0.985454,0.000003,0.0798
0.500,0.08750,5,1152014,0.955537,0.000027,0.1322
0.600,0.08250,29,3076462,0.957566,0.000026,0.1326
0.520,0.05750,10,1579418,0.969917,0.000012,0.1113
0.500,0.09250,5,1152014,0.953101,0.000031,0.1341
0.540,0.07750,15,2040253,0.958162,0.000024,0.1368
0.560,0.03250,20,2483195,0.982732,0.000004,0.0858
0.500,0.09750,5,1152014,0.950360,0.000033,0.1428
0.520,0.06250,10,1579418,0.967282,0.000015,0.1194
0.580,0.09750,24,2847535,0.948700,0.000036,0.1454
0.500,0.00250,6,1152014,0.998721,0.000000,0.0179
0.600,0.08750,29,3076462,0.954915,0.000028,0.1386
0.540,0.08250,15,2040253,0.955653,0.000026,0.1371
0.500,0.00750,6,1152014,0.996096,0.000000,0.0405
0.520,0.06750,10,1579418,0.964373,0.000018,0.1212
0.580,0.00250,25,2847535,0.998702,0.000000,0.0191
0.560,0.03750,20,2483195,0.979991,0.000005,0.0898
0.500,0.01250,6,1152014,0.993530,0.000001,0.0485
0.520,0.07250,10,1579418,0.961981,0.000020,0.1306
0.500,0.01750,6,1152014,0.990954,0.000001,0.0592
0.540,0.08750,15,2040253,0.952928,0.000029,0.1433
0.600,0.09250,29,3076462,0.952042,0.000031,0.1379
0.580,0.00750,25,2847535,0.996086,0.000000,0.0386
0.560,0.04250,20,2483195,0.977525,0.000007,0.0970
0.500,0.02250,6,1152014,0.988427,0.000002,0.0694
0.520,0.07750,10,1579418,0.959375,0.000023,0.1296
0.500,0.02750,6,1152014,0.985784,0.000003,0.0736
0.540,0.09250,15,2040253,0.950385,0.000033,0.1439
0.580,0.01250,25,2847535,0.993518,0.000001,0.0520
0.500,0.03250,6,1152014,0.983282,0.000004,0.0807
0.520,0.08250,10,1579418,0.956682,0.000026,0.1367
0.560,0.04750,20,2483195,0.974860,0.000009,0.1013
0.600,0.09750,29,3076462,0.949533,0.000035,0.1437
0.500,0.03750,6,1152014,0.980708,0.000004,0.0881
0.540,0.09750,15,2040253,0.947723,0.000038,0.1502
0.520,0.08750,10,1579418,0.953847,0.000030,0.1386
0.500,0.04250,6,1152014,0.978056,0.000006,0.0957
0.580,0.01750,25,2847535,0.990912,0.000001,0.0585
0.540,0.00250,16,2040253,0.998682,0.000000,0.0165
0.560,0.05250,20,2483195,0.972263,0.000010,0.1069
0.600,0.00250,30,3076462,0.998757,0.000000,0.0164
0.500,0.04750,6,1152014,0.975519,0.000008,0.0985
0.520,0.09250,10,1579418,0.951455,0.000030,0.1374
0.540,0.00750,16,2040253,0.996048,0.000000,0.0427
0.500,0.05250,6,1152014,0.973075,0.000009,0.1002
0.580,0.02250,25,2847535,0.988346,0.000002,0.0702
0.520,0.09750,10,1579418,0.948756,0.000038,0.1452
0.560,0.05750,20,2483195,0.969580,0.000012,0.1162
0.600,0.00750,30,3076462,0.996264,0.000000,0.0369
0.500,0.05750,6,1152014,0.970278,0.000012,0.1125
0.540,0.01250,16,2040253,0.993393,0.000001,0.0528
0.520,0.00250,11,1579418,0.998632,0.000000,0.0186
0.500,0.06250,6,1152014,0.967638,0.000014,0.1144
0.520,0.00750,11,1579418,0.995987,0.000000,0.0406
0.580,0.02750,25,2847535,0.985617,0.000003,0.0732
0.540,0.01750,16,2040253,0.990722,0.000001,0.0626
0.600,0.01250,30,3076462,0.993818,0.000000,0.0494
0.560,0.06250,20,2483195,0.966832,0.000014,0.1189
0.500,0.06750,6,1152014,0.965220,0.000017,0.1191
0.520,0.01250,11,1579418,0.993352,0.000001,0.0529
0.500,0.07250,6,1152014,0.962698,0.000018,0.1242
0.540,0.02250,16,2040253,0.988165,0.000002,0.0705
0.520,0.01750,11,1579418,0.990654,0.000001,0.0647
0.580,0.03250,25,2847535,0.983166,0.000004,0.0819
0.600,0.01750,30,3076462,0.991326,0.000001,0.0592
0.560,0.06750,20,2483195,0.964161,0.000018,0.1264
0.500,0.07750,6,1152014,0.959960,0.000021,0.1253
0.540,0.02750,16,2040253,0.985526,0.000002,0.0761
0.520,0.02250,11,1579418,0.987957,0.000002,0.0709
0.500,0.08250,6,1152014,0.957575,0.000025,0.1330
0.580,0.03750,25,2847535,0.980454,0.000005,0.0885
0.500,0.08750,6,1152014,0.955058,0.000029,0.1358
0.520,0.02750,11,1579418,0.985344,0.000003,0.0774
0.600,0.02250,30,3076462,0.988840,0.000002,0.0682
0.560,0.07250,20,2483195,0.961539,0.000020,0.1300
0.540,0.03250,16,2040253,0.982972,0.000004,0.0840
0.500,0.09250,6,1152014,0.952155,0.000029,0.1343
0.520,0.03250,11,1579418,0.982678,0.000004,0.0855
0.540,0.03750,16,2040253,0.980310,0.000006,0.0912
0.500,0.09750,6,1152014,0.949696,0.000033,0.1392
0.580,0.04250,25,2847535,0.977875,0.000007,0.1005
0.560,0.07750,20,2483195,0.958694,0.000023,0.1305
0.600,0.02750,30,3076462,0.986411,0.000003,0.0747
0.520,0.03750,11,1579418,0.980026,0.000006,0.0927
0.500,0.00250,7,1152014,0.998689,0.000000,0.0214
0.500,0.00750,7,1152014,0.996139,0.000000,0.0404
0.540,0.04250,16,2040253,0.977577,0.000007,0.0930
0.520,0.04250,11,1579418,0.977192,0.000007,0.1015
0.500,0.01250,7,1152014,0.993539,0.000001,0.0531
0.560,0.08250,20,2483195,0.956238,0.000025,0.1346
0.580,0.04750,25,2847535,0.975285,0.000008,0.0998
0.600,0.03250,30,3076462,0.983865,0.000003,0.0805
0.500,0.01750,7,1152014,0.990912,0.000001,0.0563
0.520,0.04750,11,1579418,0.974495,0.000008,0.0993
0.540,0.04750,16,2040253,0.975081,0.000008,0.1057
0.500,0.02250,7,1152014,0.988406,0.000002,0.0671
0.520,0.05250,11,1579418,0.971835,0.000011,0.1051
0.560,0.08750,20,2483195,0.953417,0.000028,0.1457
0.500,0.02750,7,1152014,0.985794,0.000003,0.0732
0.580,0.05250,25,2847535,0.972658,0.000011,0.1060
0.540,0.05250,16,2040253,0.972369,0.000009,0.1061
0.600,0.03750,30,3076462,0.981338,0.000004,0.0843
0.500,0.03250,7,1152014,0.983212,0.000004,0.0858
0.520,0.05750,11,1579418,0.969336,0.000013,0.1137
0.500,0.03750,7,1152014,0.980600,0.000005,0.0834
0.540,0.05750,16,2040253,0.969683,0.000013,0.1168
0.560,0.09250,20,2483195,0.950790,0.000034,0.1474
0.520,0.06250,11,1579418,0.966611,0.000014,0.1207
0.580,0.05750,25,2847535,0.970035,0.000012,0.1115
0.500,0.04250,7,1152014,0.977945,0.000006,0.0953
0.600,0.04250,30,3076462,0.978814,0.000006,0.0936
0.540,0.06250,16,2040253,0.966962,0.000014,0.1212
0.500,0.04750,7,1152014,0.975561,0.000008,0.0997
0.520,0.06750,11,1579418,0.964018,0.000017,0.1224
0.560,0.09750,20,2483195,0.948051,0.000036,0.1454
0.500,0.05250,7,1152014,0.972908,0.000009,0.1037
